Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
multitask learning and benchmarking with clinical time series data,17,06,2019,Scientific data,6,1,2052-4463,Hrayr,Harutyunyan,"USC Information Sciences Institute, Marina del Rey, California, 90292, United States of America.",Hrant,Khachatrian,"YerevaNN, Yerevan, 0025, Armenia. hrant@yerevann.com.",David C,Kale,"USC Information Sciences Institute, Marina del Rey, California, 90292, United States of America.",Greg,Ver Steeg,"USC Information Sciences Institute, Marina del Rey, California, 90292, United States of America.",Aram,Galstyan,"USC Information Sciences Institute, Marina del Rey, California, 90292, United States of America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convolutional neural network model for intensive care unit acute kidney injury prediction,26,02,2021,Kidney international reports,6,5,2468-0249,Sidney,Le,"Dascena, Inc., Houston, Texas, USA.",Angier,Allen,"Dascena, Inc., Houston, Texas, USA.",Jacob,Calvert,"Dascena, Inc., Houston, Texas, USA.",Paul M,Palevsky,"VA Pittsburgh Healthcare System and University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",Gregory,Braden,"Baystate Medical Center, Springfield, Massachusetts, USA.",Sharad,Patel,"Department of Critical Care Medicine, Cooper University Health Care, Camden, New Jersey, USA.",Emily,Pellegrini,"Dascena, Inc., Houston, Texas, USA.",Abigail,Green-Saxena,"Dascena, Inc., Houston, Texas, USA.",Jana,Hoffman,"Dascena, Inc., Houston, Texas, USA.",Ritankar,Das,"Dascena, Inc., Houston, Texas, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deceased serum bilirubin and albumin levels in the assessment of severity and mortality in patients with acute pancreatitis,23,09,2020,International journal of medical sciences,17,17,1449-1907,Xiao,Xu,"Department of Emergency, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, Wuhan Hubei, 430014, China.",Fen,Ai,"Department of Emergency, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, Wuhan Hubei, 430014, China.",Min,Huang,"Department of Nephrology, The Central Hospital of Wuhan, Tongji Medical College of Huazhong University of Science and Technology, Wuhan Hubei, 430014, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
does diabetes mellitus increase the short- and long-term mortality in patients with critical acute myocardial infarction? results from american mimic-iii and chinese cin cohorts,14,12,2021,Frontiers in endocrinology,12,,1664-2392,Shiqun,Chen,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Zhidong,Huang,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Liling,Chen,"Department of Cardiology, Longyan First Hospital Affiliated With Fujian Medical University, Longyan, China.",Xiaoli,Zhao,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-Sen University, Guangzhou, China.",Yu,Kang,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Wenguang,Lai,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Xiaozhao,Lu,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Yang,Zhou,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Yibo,He,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Haozhang,Huang,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Qiang,Li,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Jin,Liu,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Yan,Liang,"Department of Cardiology, Maoming People's Hospital, Maoming, China.",Shaohong,Dong,"Department of Cardiology, Shenzhen People's Hospital, Shenzhen, China.",Ning,Tan,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Yong,Liu,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Jiyan,Chen,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using information theory to identify redundancy in common laboratory tests in the intensive care unit,31,07,2015,BMC medical informatics and decision making,15,,1472-6947,Joon,Lee,"School of Public Health and Health Systems, University of Waterloo, Waterloo, Canada. joon.lee@uwaterloo.ca.",David M,Maslove,"Department of Medicine & Critical Care Program, Queen's University, Kingston, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary analysis of electronic health records,XX,XX,2016,,,,,Li-wei H.,Lehman,"Massachusetts Institute of Technology, Cambridge, MA, USA",Mengling,Feng,"Massachusetts Institute of Technology, Cambridge, MA, USA",Yijun,Yang,"Massachusetts Institute of Technology, Cambridge, MA, USA",Roger G.,Mark,"Massachusetts Institute of Technology, Cambridge, MA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer,Cham (CH),9783319437408,9783319437422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
severity classification of chronic obstructive pulmonary disease and asthma with heart rate and spo2 sensors,XX,07,2018,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2018,,2694-0604,Tasnuba,Siddiqui,,Bashir I,Morshed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interdepartmental audit with an anatomically realistic lung phantom,XX,03,2006,Journal of nuclear medicine technology,34,1,0091-4916,Jari O,Heikkinen,"Department of Nuclear Medicine, Etelä-Savo Hospital District, Mikkeli Central Hospital, Mikkeli, and Department of Clinical Physiology, Kuopio University Hospital and Niuvanniemi Hospital, Kuopio, Finland. jari.heikkinen@esshp.fi",Jyrki T,Kuikka,,Pentti J,Rautio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nomogram to predict the risk of acute kidney injury in patients with diabetic ketoacidosis: an analysis of the mimic-iii database,04,03,2021,BMC endocrine disorders,21,1,1472-6823,Tingting,Fan,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China.",Haosheng,Wang,"Department of Orthopedics, Second Affiliated Hospital of Jilin University, Changchun, China.",Jiaxin,Wang,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China.",Wenrui,Wang,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China.",Haifei,Guan,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China.",Chuan,Zhang,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China. wangs93@sina.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a study of deep learning approaches for medication and adverse drug event extraction from clinical text,01,01,2020,Journal of the American Medical Informatics Association : JAMIA,27,1,1527-974X,Qiang,Wei,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Zongcheng,Ji,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Zhiheng,Li,"School of Computer Science and Technology, Dalian University of Technology, Dalian, China.",Jingcheng,Du,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Jingqi,Wang,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Jun,Xu,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Yang,Xiang,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Firat,Tiryaki,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Stephen,Wu,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Yaoyun,Zhang,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Cui,Tao,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",Hua,Xu,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, Houston, Texas, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stratified locality-sensitive hashing for accelerated physiological time series retrieval,XX,08,2016,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2016,,2694-0604,Yongwook Bryce,Kim,,Erik,Hemberg,,Una-May,O'Reilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"comparing the impact on the prognosis of acute myocardial infarction critical patients of using midazolam, propofol, and dexmedetomidine for sedation",07,12,2021,BMC cardiovascular disorders,21,1,1471-2261,Xiaowei,Jiang,"Cardiology Department, National Clinical Research Center for Geriatric Disorders, Xiangya Hospital Central South University, Changsha, Hunan, China.",Min,Yan,"Internal Medicine Department, Changsha Medical University, Changsha, Hunan, China. 372263748@qq.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic photoplethysmogram generation using two gaussian functions,17,08,2020,Scientific reports,10,1,2045-2322,Qunfeng,Tang,"Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada.",Zhencheng,Chen,"School of Electronic Engineering and Automation, Guilin University of Electronic Technology, Guilin, China. chenzhcheng@guet.edu.cn.",Rabab,Ward,"Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada.",Mohamed,Elgendi,"Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada. moe.elgendi@gmail.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a machine learning-based prediction of hospital mortality in patients with postoperative sepsis,11,08,2020,Frontiers in medicine,7,,2296-858X,Ren-Qi,Yao,"Trauma Research Center, Fourth Medical Center of the Chinese PLA General Hospital, Beijing, China.",Xin,Jin,"School of Mathematics and Statistics, Beijing Institute of Technology, Beijing, China.",Guo-Wei,Wang,"School of Computer Science and Technology, Wuhan University of Technology, Wuhan, China.",Yue,Yu,"Department of Cardiothoracic Surgery, Changzheng Hospital, Naval Medical University, Shanghai, China.",Guo-Sheng,Wu,"Department of Burn Surgery, Changhai Hospital, Naval Medical University, Shanghai, China.",Yi-Bing,Zhu,"Medical Research and Biometrics Center, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.",Lin,Li,"School of Computer Science and Technology, Wuhan University of Technology, Wuhan, China.",Yu-Xuan,Li,"Department of General Surgery, First Medical Center of Chinese PLA General Hospital, Beijing, China.",Peng-Yue,Zhao,"Department of General Surgery, First Medical Center of Chinese PLA General Hospital, Beijing, China.",Sheng-Yu,Zhu,"Department of General Surgery, First Medical Center of Chinese PLA General Hospital, Beijing, China.",Zhao-Fan,Xia,"Department of Burn Surgery, Changhai Hospital, Naval Medical University, Shanghai, China.",Chao,Ren,"Trauma Research Center, Fourth Medical Center of the Chinese PLA General Hospital, Beijing, China.",Yong-Ming,Yao,"Trauma Research Center, Fourth Medical Center of the Chinese PLA General Hospital, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serum anion gap predicts all-cause mortality in critically ill patients with acute kidney injury: analysis of the mimic-iii database,21,01,2020,Disease markers,2020,,1875-8630,Bihuan,Cheng,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",Diwen,Li,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",Yuqiang,Gong,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",Binyu,Ying,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",Benji,Wang,"Department of Anesthesiology, Critical Care and Pain Medicine, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000 Zhejiang, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
