Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
septic shock prediction for icu patients via coupled hmm walking on sequential contrast patterns,21,12,2016,Journal of biomedical informatics,66,,1532-0480,Shameek,Ghosh,"Advanced Analytics Institute, Faculty of Engineering and IT, University of Technology Sydney (UTS), Australia. Electronic address: Shameek.Ghosh@student.uts.edu.au.",Jinyan,Li,"Advanced Analytics Institute, Faculty of Engineering and IT, University of Technology Sydney (UTS), Australia. Electronic address: Jinyan.Li@uts.edu.au.",Longbing,Cao,"Advanced Analytics Institute, Faculty of Engineering and IT, University of Technology Sydney (UTS), Australia. Electronic address: Longbing.Cao@uts.edu.au.",Kotagiri,Ramamohanarao,"Department of Computing and Information Systems, The University of Melbourne, Parkville, VIC 3010, Australia. Electronic address: kotagiri@unimelb.edu.au.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mimic-iii, a freely accessible critical care database",24,05,2016,Scientific data,3,,2052-4463,Alistair E W,Johnson,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",Tom J,Pollard,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",Lu,Shen,"Information Systems, Beth Israel Deaconess Medical Center, Boston, Massachusetts 02215, USA.",Li-Wei H,Lehman,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",Mengling,Feng,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",Mohammad,Ghassemi,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",Benjamin,Moody,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",Peter,Szolovits,"Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",Leo Anthony,Celi,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",Roger G,Mark,"Laboratory for Computational Physiology, MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assessing the comorbidity gap between clinical studies and prevalence in elderly patient populations,21,04,2016,... IEEE-EMBS International Conference on Biomedical and Health Informatics. IEEE-EMBS International Conference on Biomedical and Health Informatics,2016,,2641-3590,Zhe,He,"School of Information and Institute for Successful Longevity at Florida State University, Tallahassee, FL 32308 USA (phone: 850-644-5775).",Neil,Charness,"Department of Psychology and Institute for Successful Longevity at Florida State University, Tallahassee, FL 32308 USA.",Jiang,Bian,"Department of Health Outcomes and Policy, University of Florida, Gainesville, FL 32610 USA.",William R,Hogan,"Department of Health Outcomes and Policy, University of Florida, Gainesville, FL 32610 USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary analysis of electronic health records,XX,XX,2016,,,,,Joon,Lee,"Massachusetts Institute of Technology, Cambridge, USA",Joel A.,Dubin,"Massachusetts Institute of Technology, Cambridge, USA",David M.,Maslove,"Massachusetts Institute of Technology, Cambridge, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer,Cham (CH),9783319437408,9783319437422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prognostic value of red blood cell distribution width in acute pancreatitis patients admitted to intensive care units: an analysis of a publicly accessible clinical database mimic ii,01,07,2016,Clinical chemistry and laboratory medicine,54,7,1437-4331,Zhi-De,Hu,,Ting-Ting,Wei,,Qing-Qin,Tang,,Hai-Tao,Fu,,Min,Yang,,Ning,Ma,,Li-Li,Wang,,Bao-Dong,Qin,,Lin,Zhou,,Ren-Qian,Zhong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a computational approach to mortality prediction of alcohol use disorder inpatients,24,05,2016,Computers in biology and medicine,75,,1879-0534,Jacob,Calvert,"Dascena, Inc, United States.",Qingqing,Mao,"Dascena, Inc, United States.",Angela J,Rogers,"Department of Medicine, Stanford University, United States.",Christopher,Barton,"Department of Emergency Medicine, University of California, San Francisco, United States.",Melissa,Jay,"Dascena, Inc, United States.",Thomas,Desautels,"Dascena, Inc, United States.",Hamid,Mohamadlou,"Dascena, Inc, United States.",Jasmine,Jan,"Department of Bioengineering, University of California, Berkeley, United States.",Ritankar,Das,"Dascena, Inc, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
establishment and validation of gv-saps ii scoring system for non-diabetic critically ill patients,08,11,2016,PloS one,11,11,1932-6203,Wen-Yue,Liu,"Department of Endocrinology, the First Affiliated Hospital of Wenzhou Medical University, Wenzhou, 325000, China.",Shi-Gang,Lin,"School of the First Clinical Medical Sciences, Wenzhou Medical University, Wenzhou, 325000, China.",Gui-Qi,Zhu,"Department of Hepatology, Liver Research Center, the First Affiliated Hospital of Wenzhou Medical University, Wenzhou, 325000, China.",Sven Van,Poucke,"Dept of Anesthesiology, Intensive Care, Emergency Medicine and Pain Therapy, Ziekenhuis Oost-Limburg, Genk, Belgium.",Martin,Braddock,"Global Medicines Development, AstraZeneca R&D, Loughborough, United Kingdom.",Zhongheng,Zhang,"Department of Critical Care Medicine, Jinhua Municipal Central Hospital, Jinhua Hospital of Zhejiang University, Jinhua, 321000, China.",Zhi,Mao,"Department of Critical Care Medicine, Chinese People's Liberation Army General Hospital, Beijing, China.",Fei-Xia,Shen,"Department of Endocrinology, the First Affiliated Hospital of Wenzhou Medical University, Wenzhou, 325000, China.",Ming-Hua,Zheng,"Department of Hepatology, Liver Research Center, the First Affiliated Hospital of Wenzhou Medical University, Wenzhou, 325000, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prediction of sepsis in the intensive care unit with minimal electronic health record data: a machine learning approach,30,09,2016,JMIR medical informatics,4,3,2291-9694,Thomas,Desautels,"Dascena, Inc, Hayward, CA, United States.",Jacob,Calvert,"Dascena, Inc, Hayward, CA, United States.",Jana,Hoffman,"Dascena, Inc, Hayward, CA, United States.",Melissa,Jay,"Dascena, Inc, Hayward, CA, United States.",Yaniv,Kerem,"Department of Clinical Informatics, Stanford University School of Medicine, Stanford, CA, United States",Lisa,Shieh,"Department of Medicine, Stanford University School of Medicine, Stanford, CA, United States",David,Shimabukuro,"Division of Critical Care Medicine, Department of Anesthesia and Perioperative Care, University of California San Francisco, San Francisco, CA, United States",Uli,Chettipally,"Department of Emergency Medicine, Kaiser Permanente South San Francisco Medical Center, South San Francisco, CA, United States",Mitchell D,Feldman,"Division of General Internal Medicine, Department of Medicine, University of California San Francisco, San Francisco, CA, United States",Chris,Barton,"Department of Emergency Medicine, University of California San Francisco, San Francisco, CA, United States",David J,Wales,"Department of Chemistry, University of Cambridge, Cambridge, United Kingdom",Ritankar,Das,"Dascena, Inc, Hayward, CA, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary analysis of electronic health records,XX,XX,2016,,,,,Romain,Pirracchio,"Division of Biostatistics, School of Public Health, University of Califonia, Berkeley, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer,Cham (CH),9783319437408,9783319437422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
platelet-to-lymphocyte ratio: a novel prognostic factor for prediction of 90-day outcomes in critically ill patients with diabetic ketoacidosis,XX,01,2016,Medicine,95,4,1536-5964,Wen-Yue,Liu,"From the Department of Endocrinology, the First Affiliated Hospital of Wenzhou Medical University (W-YL, C-CF, F-XS); School of the First Clinical Medical Sciences (S-GL, L-RW, G-QZ); Department of Infection and Liver Diseases, Liver Research Center, the First Affiliated Hospital of Wenzhou Medical University (L-RW, Y-QL, G-QZ, M-HZ); Renji School of Wenzhou Medical University, Wenzhou, China (Y-QL); Global Medicines Development, AstraZeneca R&D, Loughborough, United Kingdom (MB); Department of Critical Care Medicine, Jinhua Municipal Central Hospital, Jinhua Hospital of Zhejiang University, Jinhua (ZZ); and Institute of Hepatology, Wenzhou Medical University, Wenzhou, China (M-HZ).",Shi-Gang,Lin,,Li-Ren,Wang,,Chen-Chen,Fang,,Yi-Qian,Lin,,Martin,Braddock,,Gui-Qi,Zhu,,Zhongheng,Zhang,,Ming-Hua,Zheng,,Fei-Xia,Shen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-performance detection and early prediction of septic shock for alcohol-use disorder patients,10,05,2016,Annals of medicine and surgery (2012),8,,2049-0801,Jacob,Calvert,"Dascena Inc., Hayward, CA, USA.",Thomas,Desautels,"Dascena Inc., Hayward, CA, USA.",Uli,Chettipally,"Kaiser Permanente South San Francisco Medical Center, South San Francisco, CA, USA; Department of Emergency Medicine, University of California San Francisco, San Francisco, CA, USA.",Christopher,Barton,"Department of Emergency Medicine, University of California San Francisco, San Francisco, CA, USA.",Jana,Hoffman,"Dascena Inc., Hayward, CA, USA.",Melissa,Jay,"Dascena Inc., Hayward, CA, USA.",Qingqing,Mao,"Dascena Inc., Hayward, CA, USA.",Hamid,Mohamadlou,"Dascena Inc., Hayward, CA, USA.",Ritankar,Das,"Dascena Inc., Hayward, CA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analysis of locality-sensitive hashing for fast critical event prediction on physiological time series,XX,08,2016,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2016,,2694-0604,Yongwook Bryce,Kim,,Una-May,O'Reilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimal medication dosing from suboptimal clinical examples: a deep reinforcement learning approach,XX,08,2016,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2016,,2694-0604,Shamim,Nemati,,Mohammad M,Ghassemi,,Gari D,Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prediction using patient comparison vs. modeling: a case study for mortality prediction,XX,08,2016,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2016,,2694-0604,Mark,Hoogendoorn,,Ali,El Hassouni,,Kwongyen,Mok,,Marzyeh,Ghassemi,,Peter,Szolovits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using electronic health record collected clinical variables to predict medical intensive care unit mortality,06,09,2016,Annals of medicine and surgery (2012),11,,2049-0801,Jacob,Calvert,"Dascena Inc., Hayward, CA, USA.",Qingqing,Mao,"Dascena Inc., Hayward, CA, USA.",Jana L,Hoffman,"Dascena Inc., Hayward, CA, USA.",Melissa,Jay,"Dascena Inc., Hayward, CA, USA.",Thomas,Desautels,"Dascena Inc., Hayward, CA, USA.",Hamid,Mohamadlou,"Dascena Inc., Hayward, CA, USA.",Uli,Chettipally,"Kaiser Permanente South San Francisco Medical Center, South San Francisco, CA, USA; Department of Emergency Medicine, University of California San Francisco, San Francisco, CA, USA.",Ritankar,Das,"Dascena Inc., Hayward, CA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust estimation of respiratory rate via ecg- and ppg-derived respiratory quality indices,XX,08,2016,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2016,,2694-0604,Drew A,Birrenkott,,Marco A F,Pimentel,,Peter J,Watkinson,,David A,Clifton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
early warnings of heart rate deterioration,XX,08,2016,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2016,,2694-0604,Vania G,Almeida,,Ian T,Nabney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
