PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37720336","Evaluating progress in automatic chest X-ray radiology report generation","Yu F, Endo M, Krishnan R, Pan I, Tsai A, Reis EP, Fonseca EKUN, Lee HMH, Abad ZSH, Ng AY, Langlotz CP, Venugopal VK, Rajpurkar P.","Patterns (N Y). 2023 Aug 3;4(9):100802. doi: 10.1016/j.patter.2023.100802. eCollection 2023 Sep 8.","Yu F","Patterns (N Y)","2023","2023/09/18","PMC10499844","","10.1016/j.patter.2023.100802"
"37711878","Dividing and Conquering a BlackBox to a Mixture of Interpretable Models: Route, Interpret, Repeat","Ghosh S, Yu K, Arabshahi F, Batmanghelich K.","Proc Int Conf Mach Learn. 2023 Jul;202:11360-11397.","Ghosh S","Proc Int Conf Mach Learn","2023","2023/09/15","PMC10500943","NIHMS1915804",""
"37691592","Open datasets in perioperative medicine: a narrative review","Lim L, Lee HC.","Anesth Pain Med (Seoul). 2023 Jul;18(3):213-219. doi: 10.17085/apm.23076. Epub 2023 Jul 26.","Lim L","Anesth Pain Med (Seoul)","2023","2023/09/11","PMC10410546","","10.17085/apm.23076"
"37660106","A Real-world Dataset and Benchmark For Foundation Model Adaptation in Medical Image Classification","Wang D, Wang X, Wang L, Li M, Da Q, Liu X, Gao X, Shen J, He J, Shen T, Duan Q, Zhao J, Li K, Qiao Y, Zhang S.","Sci Data. 2023 Sep 2;10(1):574. doi: 10.1038/s41597-023-02460-0.","Wang D","Sci Data","2023","2023/09/02","PMC10475041","","10.1038/s41597-023-02460-0"
"37652343","A scoping review on multimodal deep learning in biomedical images and texts","Sun Z, Lin M, Zhu Q, Xie Q, Wang F, Lu Z, Peng Y.","J Biomed Inform. 2023 Oct;146:104482. doi: 10.1016/j.jbi.2023.104482. Epub 2023 Aug 29.","Sun Z","J Biomed Inform","2023","2023/08/31","PMC10591890","NIHMS1931842","10.1016/j.jbi.2023.104482"
"37627831","Uncertainty-Aware Convolutional Neural Network for Identifying Bilateral Opacities on Chest X-rays: A Tool to Aid Diagnosis of Acute Respiratory Distress Syndrome","Arora M, Davis CM, Gowda NR, Foster DG, Mondal A, Coopersmith CM, Kamaleswaran R.","Bioengineering (Basel). 2023 Aug 8;10(8):946. doi: 10.3390/bioengineering10080946.","Arora M","Bioengineering (Basel)","2023","2023/08/26","PMC10451804","","10.3390/bioengineering10080946"
"37571564","Weak Localization of Radiographic Manifestations in Pulmonary Tuberculosis from Chest X-ray: A Systematic Review","Feyisa DW, Ayano YM, Debelee TG, Schwenker F.","Sensors (Basel). 2023 Jul 29;23(15):6781. doi: 10.3390/s23156781.","Feyisa DW","Sensors (Basel)","2023","2023/08/12","PMC10422452","","10.3390/s23156781"
"37547812","Effect of image resolution on automated classification of chest X-rays","Haque MIU, Dubey AK, Danciu I, Justice AC, Ovchinnikova OS, Hinkle JD.","J Med Imaging (Bellingham). 2023 Jul;10(4):044503. doi: 10.1117/1.JMI.10.4.044503. Epub 2023 Aug 4.","Haque MIU","J Med Imaging (Bellingham)","2023","2023/08/07","PMC10403240","","10.1117/1.JMI.10.4.044503"
"37545750","Ability of artificial intelligence to identify self-reported race in chest x-ray using pixel intensity counts","Burns JL, Zaiman Z, Vanschaik J, Luo G, Peng L, Price B, Mathias G, Mittal V, Sagane A, Tignanelli C, Chakraborty S, Gichoya JW, Purkayastha S.","J Med Imaging (Bellingham). 2023 Nov;10(6):061106. doi: 10.1117/1.JMI.10.6.061106. Epub 2023 Aug 4.","Burns JL","J Med Imaging (Bellingham)","2023","2023/08/07","PMC10400898","","10.1117/1.JMI.10.6.061106"
"37542078","Training certified detectives to track down the intrinsic shortcuts in COVID-19 chest x-ray data sets","Zhang R, Griner D, Garrett JW, Qi Z, Chen GH.","Sci Rep. 2023 Aug 4;13(1):12690. doi: 10.1038/s41598-023-39855-3.","Zhang R","Sci Rep","2023","2023/08/04","PMC10403557","","10.1038/s41598-023-39855-3"
"37519756","Understanding transfer learning for chest radiograph clinical report generation with modified transformer architectures","Vendrow E, Schonfeld E.","Heliyon. 2023 Jul 10;9(7):e17968. doi: 10.1016/j.heliyon.2023.e17968. eCollection 2023 Jul.","Vendrow E","Heliyon","2023","2023/07/31","PMC10372225","","10.1016/j.heliyon.2023.e17968"
"37507376","Knowledge-enhanced visual-language pre-training on chest radiology images","Zhang X, Wu C, Zhang Y, Xie W, Wang Y.","Nat Commun. 2023 Jul 28;14(1):4542. doi: 10.1038/s41467-023-40260-7.","Zhang X","Nat Commun","2023","2023/07/28","PMC10382552","","10.1038/s41467-023-40260-7"
"37504805","Hybrid Classical-Quantum Transfer Learning for Cardiomegaly Detection in Chest X-rays","Decoodt P, Liang TJ, Bopardikar S, Santhanam H, Eyembe A, Garcia-Zapirain B, Sierra-Sosa D.","J Imaging. 2023 Jun 25;9(7):128. doi: 10.3390/jimaging9070128.","Decoodt P","J Imaging","2023","2023/07/28","PMC10381726","","10.3390/jimaging9070128"
"37502627","Utilizing Longitudinal Chest X-Rays and Reports to Pre-Fill Radiology Reports","Zhu Q, Mathai TS, Mukherjee P, Peng Y, Summers RM, Lu Z.","ArXiv. 2023 Oct 10:arXiv:2306.08749v2. Preprint.","Zhu Q","ArXiv","2023","2023/07/28","PMC10370215","",""
"37492389","Localization supervision of chest x-ray classifiers using label-specific eye-tracking annotation","Bigolin Lanfredi R, Schroeder JD, Tasdizen T.","Front Radiol. 2023 Jun 22;3:1088068. doi: 10.3389/fradi.2023.1088068. eCollection 2023.","Bigolin Lanfredi R","Front Radiol","2023","2023/07/26","PMC10365091","","10.3389/fradi.2023.1088068"
"37418109","Deep learning-based age estimation from chest CT scans","Azarfar G, Ko SB, Adams SJ, Babyn PS.","Int J Comput Assist Radiol Surg. 2023 Jul 7. doi: 10.1007/s11548-023-02989-w. Online ahead of print.","Azarfar G","Int J Comput Assist Radiol Surg","2023","2023/07/07","","","10.1007/s11548-023-02989-w"
"37393383","Medical transformer for multimodal survival prediction in intensive care: integration of imaging and non-imaging data","Khader F, Kather JN, Müller-Franzes G, Wang T, Han T, Tayebi Arasteh S, Hamesch K, Bressem K, Haarburger C, Stegmaier J, Kuhl C, Nebelung S, Truhn D.","Sci Rep. 2023 Jul 1;13(1):10666. doi: 10.1038/s41598-023-37835-1.","Khader F","Sci Rep","2023","2023/07/01","PMC10314902","","10.1038/s41598-023-37835-1"
"37363343","A comprehensive review of COVID-19 detection with machine learning and deep learning techniques","Das S, Ayus I, Gupta D.","Health Technol (Berl). 2023 Jun 7:1-14. doi: 10.1007/s12553-023-00757-z. Online ahead of print.","Das S","Health Technol (Berl)","2023","2023/06/26","PMC10244837","","10.1007/s12553-023-00757-z"
"37362896","Review on chest pathogies detection systems using deep learning techniques","Rehman A, Khan A, Fatima G, Naz S, Razzak I.","Artif Intell Rev. 2023 Mar 20:1-47. doi: 10.1007/s10462-023-10457-9. Online ahead of print.","Rehman A","Artif Intell Rev","2023","2023/06/26","PMC10027283","","10.1007/s10462-023-10457-9"
"37362656","Multimodal medical tensor fusion network-based DL framework for abnormality prediction from the radiology CXRs and clinical text reports","Shetty S, S AV, Mahale A.","Multimed Tools Appl. 2023 Apr 21:1-48. doi: 10.1007/s11042-023-14940-x. Online ahead of print.","Shetty S","Multimed Tools Appl","2023","2023/06/26","PMC10119019","","10.1007/s11042-023-14940-x"
"37361442","Knowledge and perception of primary care healthcare professionals on the use of artificial intelligence as a healthcare tool","Catalina QM, Fuster-Casanovas A, Vidal-Alaball J, Escalé-Besa A, Marin-Gomez FX, Femenia J, Solé-Casals J.","Digit Health. 2023 Jun 14;9:20552076231180511. doi: 10.1177/20552076231180511. eCollection 2023 Jan-Dec.","Catalina QM","Digit Health","2023","2023/06/26","PMC10286543","","10.1177/20552076231180511"
"37360402","Deep multimodal fusion of image and non-image data in disease diagnosis and prognosis: a review","Cui C, Yang H, Wang Y, Zhao S, Asad Z, Coburn LA, Wilson KT, Landman BA, Huo Y.","Prog Biomed Eng (Bristol). 2023 Apr 11;5(2):10.1088/2516-1091/acc2fe. doi: 10.1088/2516-1091/acc2fe.","Cui C","Prog Biomed Eng (Bristol)","2023","2023/06/26","PMC10288577","NIHMS1903587","10.1088/2516-1091/acc2fe"
"37292471","Fairness and Accuracy Under Domain Generalization","Pham TH, Zhang X, Zhang P.","ArXiv. 2023 Jan 30:arXiv:2301.13323v1. Preprint.","Pham TH","ArXiv","2023","2023/06/09","PMC10246117","",""
"37291435","Robust and data-efficient generalization of self-supervised machine learning for diagnostic imaging","Azizi S, Culp L, Freyberg J, Mustafa B, Baur S, Kornblith S, Chen T, Tomasev N, Mitrović J, Strachan P, Mahdavi SS, Wulczyn E, Babenko B, Walker M, Loh A, Chen PC, Liu Y, Bavishi P, McKinney SM, Winkens J, Roy AG, Beaver Z, Ryan F, Krogue J, Etemadi M, Telang U, Liu Y, Peng L, Corrado GS, Webster DR, Fleet D, Hinton G, Houlsby N, Karthikesalingam A, Norouzi M, Natarajan V.","Nat Biomed Eng. 2023 Jun;7(6):756-779. doi: 10.1038/s41551-023-01049-7. Epub 2023 Jun 8.","Azizi S","Nat Biomed Eng","2023","2023/06/08","","","10.1038/s41551-023-01049-7"
"37213678","Automatic Measuring of Finger Joint Space Width on Hand Radiograph using Deep Learning and Conventional Computer Vision Methods","Ponnusamy R, Zhang M, Chang Z, Wang Y, Guida C, Kuang S, Sun X, Blackadar J, Driban JB, McAlindon T, Duryea J, Schaefer L, Eaton CB, Haugen IK, Shan J.","Biomed Signal Process Control. 2023 Jul;84:104713. doi: 10.1016/j.bspc.2023.104713. Epub 2023 Mar 1.","Ponnusamy R","Biomed Signal Process Control","2023","2023/05/22","PMC10194086","NIHMS1897814","10.1016/j.bspc.2023.104713"
"37202803","A survey on automatic generation of medical imaging reports based on deep learning","Pang T, Li P, Zhao L.","Biomed Eng Online. 2023 May 18;22(1):48. doi: 10.1186/s12938-023-01113-y.","Pang T","Biomed Eng Online","2023","2023/05/18","PMC10195007","","10.1186/s12938-023-01113-y"
"37200562","Deep Learning Methods for Chest Disease Detection Using Radiography Images","Nasser AA, Akhloufi MA.","SN Comput Sci. 2023;4(4):388. doi: 10.1007/s42979-023-01818-w. Epub 2023 May 11.","Nasser AA","SN Comput Sci","2023","2023/05/18","PMC10173935","","10.1007/s42979-023-01818-w"
"37167055","MedShift: Automated Identification of Shift Data for Medical Image Dataset Curation","Guo X, Gichoya JW, Trivedi H, Purkayastha S, Banerjee I.","IEEE J Biomed Health Inform. 2023 Aug;27(8):3936-3947. doi: 10.1109/JBHI.2023.3275104. Epub 2023 Aug 7.","Guo X","IEEE J Biomed Health Inform","2023","2023/05/11","PMC10513895","NIHMS1923208","10.1109/JBHI.2023.3275104"
"37162826","Training certified detectives to track down the intrinsic shortcuts in COVID-19 chest x-ray data sets","Zhang R, Griner D, Garrett JW, Qi Z, Chen GH.","Res Sq. 2023 Apr 28:rs.3.rs-2818347. doi: 10.21203/rs.3.rs-2818347/v1. Preprint.","Zhang R","Res Sq","2023","2023/05/10","PMC10168454","","10.21203/rs.3.rs-2818347/v1"
"37150505","Emulating Target Trials Comparing Early and Delayed Intubation Strategies","Wanis KN, Madenci AL, Hao S, Moukheiber M, Moukheiber L, Moukheiber D, Moukheiber S, Young JG, Celi LA.","Chest. 2023 Oct;164(4):885-891. doi: 10.1016/j.chest.2023.04.048. Epub 2023 May 5.","Wanis KN","Chest","2023","2023/05/07","PMC10567927","","10.1016/j.chest.2023.04.048"
"37103483","That's the Wrong Lung! Evaluating and Improving the Interpretability of Unsupervised Multimodal Encoders for Medical Data","McInerney DJ, Young G, van de Meent JW, Wallace BC.","Proc Conf Empir Methods Nat Lang Process. 2022 Dec;2022:3626-3648.","McInerney DJ","Proc Conf Empir Methods Nat Lang Process","2022","2023/04/27","PMC10124183","NIHMS1890274",""
"37103232","Deep Learning Approaches for Data Augmentation in Medical Imaging: A Review","Kebaili A, Lapuyade-Lahorgue J, Ruan S.","J Imaging. 2023 Apr 13;9(4):81. doi: 10.3390/jimaging9040081.","Kebaili A","J Imaging","2023","2023/04/27","PMC10144738","","10.3390/jimaging9040081"
"37100953","Self-supervised learning for medical image classification: a systematic review and implementation guidelines","Huang SC, Pareek A, Jensen M, Lungren MP, Yeung S, Chaudhari AS.","NPJ Digit Med. 2023 Apr 26;6(1):74. doi: 10.1038/s41746-023-00811-0.","Huang SC","NPJ Digit Med","2023","2023/04/26","PMC10131505","","10.1038/s41746-023-00811-0"
"37100784","PediCXR: An open, large-scale chest radiograph dataset for interpretation of common thoracic diseases in children","Pham HH, Nguyen NH, Tran TT, Nguyen TNM, Nguyen HQ.","Sci Data. 2023 Apr 27;10(1):240. doi: 10.1038/s41597-023-02102-5.","Pham HH","Sci Data","2023","2023/04/26","PMC10133237","","10.1038/s41597-023-02102-5"
"37094464","Enhancing thoracic disease detection using chest X-rays from PubMed Central Open Access","Lin M, Hou B, Mishra S, Yao T, Huo Y, Yang Q, Wang F, Shih G, Peng Y.","Comput Biol Med. 2023 Jun;159:106962. doi: 10.1016/j.compbiomed.2023.106962. Epub 2023 Apr 20.","Lin M","Comput Biol Med","2023","2023/04/24","PMC10349296","NIHMS1896548","10.1016/j.compbiomed.2023.106962"
"37093922","BERTHop: An Effective Vision-and-Language Model for Chest X-ray Disease Diagnosis","Monajatipoor M, Rouhsedaghat M, Li LH, Kuo CJ, Chien A, Chang KW.","Med Image Comput Comput Assist Interv. 2022 Sep;13435:725-734. doi: 10.1007/978-3-031-16443-9_69. Epub 2022 Sep 16.","Monajatipoor M","Med Image Comput Comput Assist Interv","2022","2023/04/24","PMC10120542","NIHMS1888874","10.1007/978-3-031-16443-9_69"
"37091458","AI-based radiodiagnosis using chest X-rays: A review","Akhter Y, Singh R, Vatsa M.","Front Big Data. 2023 Apr 6;6:1120989. doi: 10.3389/fdata.2023.1120989. eCollection 2023.","Akhter Y","Front Big Data","2023","2023/04/24","PMC10116151","","10.3389/fdata.2023.1120989"
"37090631","Differentiation of Fungal, Viral, and Bacterial Sepsis using Multimodal Deep Learning","Boussina A, Ramesh K, Arora H, Ratadiya P, Nemati S.","medRxiv. 2023 Apr 11:2023.04.10.23288378. doi: 10.1101/2023.04.10.23288378. Preprint.","Boussina A","medRxiv","2023","2023/04/24","PMC10120799","","10.1101/2023.04.10.23288378"
"37060419","A deep learning model using chest X-ray for identifying TB and NTM-LD patients: a cross-sectional study","Liu CJ, Tsai CC, Kuo LC, Kuo PC, Lee MR, Wang JY, Ko JC, Shih JY, Wang HC, Yu CJ.","Insights Imaging. 2023 Apr 15;14(1):67. doi: 10.1186/s13244-023-01395-9.","Liu CJ","Insights Imaging","2023","2023/04/15","PMC10105818","","10.1186/s13244-023-01395-9"
"37055456","Collaborative training of medical artificial intelligence models with non-uniform labels","Tayebi Arasteh S, Isfort P, Saehn M, Mueller-Franzes G, Khader F, Kather JN, Kuhl C, Nebelung S, Truhn D.","Sci Rep. 2023 Apr 13;13(1):6046. doi: 10.1038/s41598-023-33303-y.","Tayebi Arasteh S","Sci Rep","2023","2023/04/13","PMC10102221","","10.1038/s41598-023-33303-y"
"37043456","Evaluating diagnostic content of AI-generated chest radiography: A multi-center visual Turing test","Myong Y, Yoon D, Kim BS, Kim YG, Sim Y, Lee S, Yoon J, Cho M, Kim S.","PLoS One. 2023 Apr 12;18(4):e0279349. doi: 10.1371/journal.pone.0279349. eCollection 2023.","Myong Y","PLoS One","2023","2023/04/12","PMC10096231","","10.1371/journal.pone.0279349"
"37038389","RoS-KD: A Robust Stochastic Knowledge Distillation Approach for Noisy Medical Imaging","Jaiswal A, Ashutosh K, Rousseau JF, Peng Y, Wang Z, Ding Y.","Proc IEEE Int Conf Data Min. 2022 Nov-Dec;2022:981-986. doi: 10.1109/icdm54844.2022.00118. Epub 2023 Feb 1.","Jaiswal A","Proc IEEE Int Conf Data Min","2022","2023/04/11","PMC10082964","NIHMS1888486","10.1109/icdm54844.2022.00118"
"37035429","Attention-based Saliency Maps Improve Interpretability of Pneumothorax Classification","Wollek A, Graf R, Čečatka S, Fink N, Willem T, Sabel BO, Lasser T.","Radiol Artif Intell. 2022 Mar 1;5(2):e220187. doi: 10.1148/ryai.220187. eCollection 2023 Mar.","Wollek A","Radiol Artif Intell","2022","2023/04/10","PMC10077084","","10.1148/ryai.220187"
"36980134","Efficacy of Artificial Intelligence in the Categorisation of Paediatric Pneumonia on Chest Radiographs: A Systematic Review","Field EL, Tam W, Moore N, McEntee M.","Children (Basel). 2023 Mar 17;10(3):576. doi: 10.3390/children10030576.","Field EL","Children (Basel)","2023","2023/03/29","PMC10047666","","10.3390/children10030576"
"36979738","Machine Learning: Using Xception, a Deep Convolutional Neural Network Architecture, to Implement Pectus Excavatum Diagnostic Tool from Frontal-View Chest X-rays","Fan YJ, Tzeng IS, Huang YS, Hsu YY, Wei BC, Hung ST, Cheng YL.","Biomedicines. 2023 Mar 2;11(3):760. doi: 10.3390/biomedicines11030760.","Fan YJ","Biomedicines","2023","2023/03/29","PMC10045358","","10.3390/biomedicines11030760"
"36914733","Medical image captioning via generative pretrained transformers","Selivanov A, Rogov OY, Chesakov D, Shelmanov A, Fedulova I, Dylov DV.","Sci Rep. 2023 Mar 13;13(1):4171. doi: 10.1038/s41598-023-31223-5.","Selivanov A","Sci Rep","2023","2023/03/14","PMC10010644","","10.1038/s41598-023-31223-5"
"36900077","A Web-Based Platform for the Automatic Stratification of ARDS Severity","Yahyatabar M, Jouvet P, Fily D, Rambaud J, Levy M, Khemani RG, Cheriet F; Pediatric Acute Respiratory Distress Syndrome Incidence and Epidemiology (PARDIE) V3 Investigators and PALISI Network.","Diagnostics (Basel). 2023 Mar 1;13(5):933. doi: 10.3390/diagnostics13050933.","Yahyatabar M","Diagnostics (Basel)","2023","2023/03/11","PMC10000955","","10.3390/diagnostics13050933"
"36832231","Machine Learning Augmented Interpretation of Chest X-rays: A Systematic Review","Ahmad HK, Milne MR, Buchlak QD, Ektas N, Sanderson G, Chamtie H, Karunasena S, Chiang J, Holt X, Tang CHM, Seah JCY, Bottrell G, Esmaili N, Brotchie P, Jones C.","Diagnostics (Basel). 2023 Feb 15;13(4):743. doi: 10.3390/diagnostics13040743.","Ahmad HK","Diagnostics (Basel)","2023","2023/02/25","PMC9955112","","10.3390/diagnostics13040743"
"36791660","Algorithmic encoding of protected characteristics in chest X-ray disease detection models","Glocker B, Jones C, Bernhardt M, Winzeck S.","EBioMedicine. 2023 Mar;89:104467. doi: 10.1016/j.ebiom.2023.104467. Epub 2023 Feb 13.","Glocker B","EBioMedicine","2023","2023/02/15","PMC10025760","","10.1016/j.ebiom.2023.104467"
"36698191","Image augmentation and automated measurement of endotracheal-tube-to-carina distance on chest radiographs in intensive care unit using a deep learning model with external validation","Oliver M, Renou A, Allou N, Moscatelli L, Ferdynus C, Allyn J.","Crit Care. 2023 Jan 25;27(1):40. doi: 10.1186/s13054-023-04320-0.","Oliver M","Crit Care","2023","2023/01/26","PMC9878756","","10.1186/s13054-023-04320-0"
"36697450","Non-task expert physicians benefit from correct explainable AI advice when reviewing X-rays","Gaube S, Suresh H, Raue M, Lermer E, Koch TK, Hudecek MFC, Ackery AD, Grover SC, Coughlin JF, Frey D, Kitamura FC, Ghassemi M, Colak E.","Sci Rep. 2023 Jan 25;13(1):1383. doi: 10.1038/s41598-023-28633-w.","Gaube S","Sci Rep","2023","2023/01/25","PMC9876883","","10.1038/s41598-023-28633-w"
"36688534","MIMIC-IV on FHIR: converting a decade of in-patient data into an exchangeable, interoperable format","Bennett AM, Ulrich H, van Damme P, Wiedekopf J, Johnson AEW.","J Am Med Inform Assoc. 2023 Mar 16;30(4):718-725. doi: 10.1093/jamia/ocad002.","Bennett AM","J Am Med Inform Assoc","2023","2023/01/23","PMC10018258","","10.1093/jamia/ocad002"
