PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37217650","Emerging sensing and modeling technologies for wearable and cuffless blood pressure monitoring","Zhao L, Liang C, Huang Y, Zhou G, Xiao Y, Ji N, Zhang YT, Zhao N.","NPJ Digit Med. 2023 May 22;6(1):93. doi: 10.1038/s41746-023-00835-6.","Zhao L","NPJ Digit Med","2023","2023/05/22","PMC10203315","","10.1038/s41746-023-00835-6"
"37114226","Negative relationship between brain-derived neurotrophic factor (BDNF) and attention: A possible elevation in BDNF level among high-altitude migrants","Fan J, Chen D, Wang N, Su R, Li H, Ma H, Gao F.","Front Neurol. 2023 Apr 11;14:1144959. doi: 10.3389/fneur.2023.1144959. eCollection 2023.","Fan J","Front Neurol","2023","2023/04/28","PMC10126458","","10.3389/fneur.2023.1144959"
"37064042","Artificial intelligence for clinical decision support for monitoring patients in cardiovascular ICUs: A systematic review","Moazemi S, Vahdati S, Li J, Kalkhoff S, Castano LJV, Dewitz B, Bibo R, Sabouniaghdam P, Tootooni MS, Bundschuh RA, Lichtenberg A, Aubin H, Schmid F.","Front Med (Lausanne). 2023 Mar 31;10:1109411. doi: 10.3389/fmed.2023.1109411. eCollection 2023.","Moazemi S","Front Med (Lausanne)","2023","2023/04/17","PMC10102653","","10.3389/fmed.2023.1109411"
"37052626","The Salzburg Intensive Care database (SICdb): an openly available critical care dataset","Rodemund N, Wernly B, Jung C, Cozowicz C, Koköfer A.","Intensive Care Med. 2023 Jun;49(6):700-702. doi: 10.1007/s00134-023-07046-3. Epub 2023 Apr 13.","Rodemund N","Intensive Care Med","2023","2023/04/13","PMC10287776","","10.1007/s00134-023-07046-3"
"36935753","Intensive care photoplethysmogram datasets and machine-learning for blood pressure estimation: Generalization not guarantied","Weber-Boisvert G, Gosselin B, Sandberg F.","Front Physiol. 2023 Mar 2;14:1126957. doi: 10.3389/fphys.2023.1126957. eCollection 2023.","Weber-Boisvert G","Front Physiol","2023","2023/03/20","PMC10017741","","10.3389/fphys.2023.1126957"
"36891146","Blood pressure stratification using photoplethysmography and light gradient boosting machine","Hu X, Yin S, Zhang X, Menon C, Fang C, Chen Z, Elgendi M, Liang Y.","Front Physiol. 2023 Feb 20;14:1072273. doi: 10.3389/fphys.2023.1072273. eCollection 2023.","Hu X","Front Physiol","2023","2023/03/09","PMC9986584","","10.3389/fphys.2023.1072273"
"36852052","Algorithms for automated diagnosis of cardiovascular diseases based on ECG data: A comprehensive systematic review","Denysyuk HV, Pinto RJ, Silva PM, Duarte RP, Marinho FA, Pimenta L, Gouveia AJ, Gonçalves NJ, Coelho PJ, Zdravevski E, Lameski P, Leithardt V, Garcia NM, Pires IM.","Heliyon. 2023 Feb 10;9(2):e13601. doi: 10.1016/j.heliyon.2023.e13601. eCollection 2023 Feb.","Denysyuk HV","Heliyon","2023","2023/02/28","PMC9958295","","10.1016/j.heliyon.2023.e13601"
"36844249","PulseDB: A large, cleaned dataset based on MIMIC-III and VitalDB for benchmarking cuff-less blood pressure estimation methods","Wang W, Mohseni P, Kilgore KL, Najafizadeh L.","Front Digit Health. 2023 Feb 8;4:1090854. doi: 10.3389/fdgth.2022.1090854. eCollection 2022.","Wang W","Front Digit Health","2023","2023/02/27","PMC9944565","","10.3389/fdgth.2022.1090854"
"36829661","Machine Learning-Based Respiration Rate and Blood Oxygen Saturation Estimation Using Photoplethysmogram Signals","Shuzan MNI, Chowdhury MH, Chowdhury MEH, Murugappan M, Hoque Bhuiyan E, Arslane Ayari M, Khandakar A.","Bioengineering (Basel). 2023 Jan 28;10(2):167. doi: 10.3390/bioengineering10020167.","Shuzan MNI","Bioengineering (Basel)","2023","2023/02/25","PMC9952751","","10.3390/bioengineering10020167"
"36829136","Prognostic value of C-reactive protein to albumin ratio for mortality in acute kidney injury","Liu B, Lv D.","BMC Nephrol. 2023 Feb 25;24(1):44. doi: 10.1186/s12882-023-03090-9.","Liu B","BMC Nephrol","2023","2023/02/24","PMC9960151","","10.1186/s12882-023-03090-9"
"36719527","β-Blockers could improve the 28-day and 3-year survival of patients with end-stage renal disease: a retrospective cohort study","Dong H, Zhou L, Yang L, Lu H, Cao S, Song H, Fu S.","Int Urol Nephrol. 2023 Jun;55(6):1597-1607. doi: 10.1007/s11255-023-03466-8. Epub 2023 Jan 31.","Dong H","Int Urol Nephrol","2023","2023/01/31","","","10.1007/s11255-023-03466-8"
"36671599","Advancement in the Cuffless and Noninvasive Measurement of Blood Pressure: A Review of the Literature and Open Challenges","Khan Mamun MMR, Sherif A.","Bioengineering (Basel). 2022 Dec 24;10(1):27. doi: 10.3390/bioengineering10010027.","Khan Mamun MMR","Bioengineering (Basel)","2022","2023/01/21","PMC9854981","","10.3390/bioengineering10010027"
"36596836","MIMIC-IV, a freely accessible electronic health record dataset","Johnson AEW, Bulgarelli L, Shen L, Gayles A, Shammout A, Horng S, Pollard TJ, Hao S, Moody B, Gow B, Lehman LH, Celi LA, Mark RG.","Sci Data. 2023 Jan 3;10(1):1. doi: 10.1038/s41597-022-01899-x.","Johnson AEW","Sci Data","2023","2023/01/03","PMC9810617","","10.1038/s41597-022-01899-x"
"36585154","Association between statin use during hospitalisation and mortality in patients with intracerebral haemorrhage: a propensity score-matched cohort study","Yuan M, Zhou X, Lu X, Xiao Z, Zhou H, Wang X.","BMJ Open. 2022 Dec 30;12(12):e065849. doi: 10.1136/bmjopen-2022-065849.","Yuan M","BMJ Open","2022","2022/12/30","PMC9809250","","10.1136/bmjopen-2022-065849"
"36561189","Development and validation of MedDRA Tagger: a tool for extraction and structuring medical information from clinical notes","Humbert-Droz M, Corley J, Tamang S, Gevaert O.","medRxiv. 2022 Dec 14:2022.12.14.22283470. doi: 10.1101/2022.12.14.22283470. Preprint.","Humbert-Droz M","medRxiv","2022","2022/12/23","PMC9774225","","10.1101/2022.12.14.22283470"
"36466046","Outcomes of Patients With Primary Cardiac Diagnoses Admitted to Cardiac vs Noncardiac Intensive Care Units","Brusca SB, Galiatsatos P, Warner S, Li X, Powell-Wiley TM, Kadri SS, Solomon MA.","JACC Adv. 2022 Oct;1(4):100114. doi: 10.1016/j.jacadv.2022.100114. Epub 2022 Oct 28.","Brusca SB","JACC Adv","2022","2022/12/05","PMC9718493","NIHMS1841831","10.1016/j.jacadv.2022.100114"
"36457893","Res-SE-ConvNet: A Deep Neural Network for Hypoxemia Severity Prediction for Hospital In-Patients Using Photoplethysmograph Signal","Mahmud T, Imran SA, Shahnaz C.","IEEE J Transl Eng Health Med. 2022 Oct 26;10:4901409. doi: 10.1109/JTEHM.2022.3217428. eCollection 2022.","Mahmud T","IEEE J Transl Eng Health Med","2022","2022/12/02","PMC9704746","","10.1109/JTEHM.2022.3217428"
"36421093","PPG2ABP: Translating Photoplethysmogram (PPG) Signals to Arterial Blood Pressure (ABP) Waveforms","Ibtehaz N, Mahmud S, Chowdhury MEH, Khandakar A, Salman Khan M, Ayari MA, Tahir AM, Rahman MS.","Bioengineering (Basel). 2022 Nov 15;9(11):692. doi: 10.3390/bioengineering9110692.","Ibtehaz N","Bioengineering (Basel)","2022","2022/11/24","PMC9687508","","10.3390/bioengineering9110692"
"36290527","Lightweight End-to-End Deep Learning Solution for Estimating the Respiration Rate from Photoplethysmogram Signal","Chowdhury MH, Shuzan MNI, Chowdhury MEH, Reaz MBI, Mahmud S, Al Emadi N, Ayari MA, Ali SHM, Bakar AAA, Rahman SM, Khandakar A.","Bioengineering (Basel). 2022 Oct 16;9(10):558. doi: 10.3390/bioengineering9100558.","Chowdhury MH","Bioengineering (Basel)","2022","2022/10/27","PMC9598342","","10.3390/bioengineering9100558"
"36187634","Current status and trends in researches based on public intensive care databases: A scientometric investigation","Li M, Du S.","Front Public Health. 2022 Sep 15;10:912151. doi: 10.3389/fpubh.2022.912151. eCollection 2022.","Li M","Front Public Health","2022","2022/10/03","PMC9521614","","10.3389/fpubh.2022.912151"
"36052315","Computational approaches to alleviate alarm fatigue in intensive care medicine: A systematic literature review","Chromik J, Klopfenstein SAI, Pfitzner B, Sinno ZC, Arnrich B, Balzer F, Poncette AS.","Front Digit Health. 2022 Aug 16;4:843747. doi: 10.3389/fdgth.2022.843747. eCollection 2022.","Chromik J","Front Digit Health","2022","2022/09/02","PMC9424650","","10.3389/fdgth.2022.843747"
"36045634","Association of Red Blood Cell Distribution Width-Albumin Ratio for Acute Myocardial Infarction Patients with Mortality: A Retrospective Cohort Study","Li D, Ruan Z, Wu B.","Clin Appl Thromb Hemost. 2022 Jan-Dec;28:10760296221121286. doi: 10.1177/10760296221121286.","Li D","Clin Appl Thromb Hemost","2022","2022/09/01","PMC9445528","","10.1177/10760296221121286"
"36028526","The health digital twin to tackle cardiovascular disease-a review of an emerging interdisciplinary field","Coorey G, Figtree GA, Fletcher DF, Snelson VJ, Vernon ST, Winlaw D, Grieve SM, McEwan A, Yang JYH, Qian P, O'Brien K, Orchard J, Kim J, Patel S, Redfern J.","NPJ Digit Med. 2022 Aug 26;5(1):126. doi: 10.1038/s41746-022-00640-7.","Coorey G","NPJ Digit Med","2022","2022/08/26","PMC9418270","","10.1038/s41746-022-00640-7"
"36004927","Subject-Based Model for Reconstructing Arterial Blood Pressure from Photoplethysmogram","Tang Q, Chen Z, Ward R, Menon C, Elgendi M.","Bioengineering (Basel). 2022 Aug 18;9(8):402. doi: 10.3390/bioengineering9080402.","Tang Q","Bioengineering (Basel)","2022","2022/08/25","PMC9404925","","10.3390/bioengineering9080402"
"35969441","State-of-the-Art Deep Learning Methods on Electrocardiogram Data: Systematic Review","Petmezas G, Stefanopoulos L, Kilintzis V, Tzavelis A, Rogers JA, Katsaggelos AK, Maglaveras N.","JMIR Med Inform. 2022 Aug 15;10(8):e38454. doi: 10.2196/38454.","Petmezas G","JMIR Med Inform","2022","2022/08/15","PMC9425174","","10.2196/38454"
"35853440","Detecting beats in the photoplethysmogram: benchmarking open-source algorithms","Charlton PH, Kotzen K, Mejía-Mejía E, Aston PJ, Budidha K, Mant J, Pettit C, Behar JA, Kyriacou PA.","Physiol Meas. 2022 Aug 19;43(8):085007. doi: 10.1088/1361-6579/ac826d.","Charlton PH","Physiol Meas","2022","2022/07/19","PMC9393905","","10.1088/1361-6579/ac826d"
"35790097","Using Temporal Data Mining on Patient Data for Clinical Decision Making in the Care of the Sick Newborn","Tan S, Unnikrishnan KP.","EC Paediatr. 2022 May;11(5):44-56. Epub 2022 Apr 28.","Tan S","EC Paediatr","2022","2022/07/05","PMC9249406","NIHMS1815179",""
"35684656","An Overview of the Sensors for Heart Rate Monitoring Used in Extramural Applications","Galli A, Montree RJH, Que S, Peri E, Vullings R.","Sensors (Basel). 2022 May 26;22(11):4035. doi: 10.3390/s22114035.","Galli A","Sensors (Basel)","2022","2022/06/10","PMC9185322","","10.3390/s22114035"
"35637660","Ethnic disparities in publicly-available pulse oximetry databases","Sinaki FY, Ward R, Abbott D, Allen J, Fletcher RR, Menon C, Elgendi M.","Commun Med (Lond). 2022 May 27;2:59. doi: 10.1038/s43856-022-00121-8. eCollection 2022.","Sinaki FY","Commun Med (Lond)","2022","2022/05/31","PMC9142514","","10.1038/s43856-022-00121-8"
"35632360","A Review of Noninvasive Methodologies to Estimate the Blood Pressure Waveform","Athaya T, Choi S.","Sensors (Basel). 2022 May 23;22(10):3953. doi: 10.3390/s22103953.","Athaya T","Sensors (Basel)","2022","2022/05/28","PMC9145242","","10.3390/s22103953"
"35505328","Dynamic Bayesian network for predicting physiological changes, organ dysfunctions and mortality risk in critical trauma patients","Chen Q, Tang B, Song J, Jiang Y, Zhao X, Ruan Y, Zhao F, Wu G, Chen T, He J.","BMC Med Inform Decis Mak. 2022 May 3;22(1):119. doi: 10.1186/s12911-022-01803-y.","Chen Q","BMC Med Inform Decis Mak","2022","2022/05/03","PMC9063308","","10.1186/s12911-022-01803-y"
"35481281","Domain Adaptation Using Convolutional Autoencoder and Gradient Boosting for Adverse Events Prediction in the Intensive Care Unit","Zhu Y, Venugopalan J, Zhang Z, Chanani NK, Maher KO, Wang MD.","Front Artif Intell. 2022 Apr 11;5:640926. doi: 10.3389/frai.2022.640926. eCollection 2022.","Zhu Y","Front Artif Intell","2022","2022/04/28","PMC9036368","","10.3389/frai.2022.640926"
"35475536","Use of unstructured text in prognostic clinical prediction models: a systematic review","Seinen TM, Fridgeirsson EA, Ioannou S, Jeannetot D, John LH, Kors JA, Markus AF, Pera V, Rekkas A, Williams RD, Yang C, van Mulligen EM, Rijnbeek PR.","J Am Med Inform Assoc. 2022 Jun 14;29(7):1292-1302. doi: 10.1093/jamia/ocac058.","Seinen TM","J Am Med Inform Assoc","2022","2022/04/27","PMC9196702","","10.1093/jamia/ocac058"
"35463034","Association Between Platelet Levels and 28-Day Mortality in Patients With Sepsis: A Retrospective Analysis of a Large Clinical Database MIMIC-IV","Wang D, Wang S, Wu H, Gao J, Huang K, Xu D, Ru H.","Front Med (Lausanne). 2022 Apr 7;9:833996. doi: 10.3389/fmed.2022.833996. eCollection 2022.","Wang D","Front Med (Lausanne)","2022","2022/04/25","PMC9021789","","10.3389/fmed.2022.833996"
"35422956","Association between basal platelet count and all-cause mortality in critically ill patients with acute respiratory failure: a secondary analysis from the eICU collaborative research database","Xiao C, Qin Z, Xiao J, Li Q, He T, Li S, Shen F.","Am J Transl Res. 2022 Mar 15;14(3):1685-1694. eCollection 2022.","Xiao C","Am J Transl Res","2022","2022/04/15","PMC8991150","",""
"35415406","Machine Learning and Mobile Health Monitoring Platforms: A Case Study on Research and Implementation Challenges","Boursalie O, Samavi R, Doyle TE.","J Healthc Inform Res. 2018 May 22;2(1-2):179-203. doi: 10.1007/s41666-018-0021-1. eCollection 2018 Jun.","Boursalie O","J Healthc Inform Res","2018","2022/04/13","PMC8982705","","10.1007/s41666-018-0021-1"
"35387672","A novel nomogram to predict mortality in patients with stroke: a survival analysis based on the MIMIC-III clinical database","Li XD, Li MM.","BMC Med Inform Decis Mak. 2022 Apr 6;22(1):92. doi: 10.1186/s12911-022-01836-3.","Li XD","BMC Med Inform Decis Mak","2022","2022/04/07","PMC8988376","","10.1186/s12911-022-01836-3"
"35323420","Intelligent Bio-Impedance System for Personalized Continuous Blood Pressure Measurement","Wang TW, Syu JY, Chu HW, Sung YL, Chou L, Escott E, Escott O, Lin TT, Lin SF.","Biosensors (Basel). 2022 Feb 28;12(3):150. doi: 10.3390/bios12030150.","Wang TW","Biosensors (Basel)","2022","2022/03/24","PMC8946827","","10.3390/bios12030150"
"35206889","CoCross: An ICT Platform Enabling Monitoring Recording and Fusion of Clinical Information Chest Sounds and Imaging of COVID-19 ICU Patients","Kilintzis V, Beredimas N, Kaimakamis E, Stefanopoulos L, Chatzis E, Jahaj E, Bitzani M, Kotanidou A, Katsaggelos AK, Maglaveras N.","Healthcare (Basel). 2022 Jan 30;10(2):276. doi: 10.3390/healthcare10020276.","Kilintzis V","Healthcare (Basel)","2022","2022/02/25","PMC8871733","","10.3390/healthcare10020276"
"35151270","Association between circadian variation of heart rate and mortality among critically ill patients: a retrospective cohort study","Zhang J, Du L, Li J, Li R, Jin X, Ren J, Gao Y, Wang X.","BMC Anesthesiol. 2022 Feb 12;22(1):45. doi: 10.1186/s12871-022-01586-9.","Zhang J","BMC Anesthesiol","2022","2022/02/13","PMC8840314","","10.1186/s12871-022-01586-9"
"35040610","Artificial Intelligence for Detection of Cardiovascular-Related Diseases from Wearable Devices: A Systematic Review and Meta-Analysis","Lee S, Chu Y, Ryu J, Park YJ, Yang S, Koh SB.","Yonsei Med J. 2022 Jan;63(Suppl):S93-S107. doi: 10.3349/ymj.2022.63.S93.","Lee S","Yonsei Med J","2022","2022/01/18","PMC8790582","","10.3349/ymj.2022.63.S93"
"34966903","Development of a Lexicon for Pain","Chaturvedi J, Mascio A, Velupillai SU, Roberts A.","Front Digit Health. 2021 Dec 13;3:778305. doi: 10.3389/fdgth.2021.778305. eCollection 2021.","Chaturvedi J","Front Digit Health","2021","2021/12/30","PMC8710455","","10.3389/fdgth.2021.778305"
"34897469","Sepsis prediction, early detection, and identification using clinical text for machine learning: a systematic review","Yan MY, Gustad LT, Nytrø Ø.","J Am Med Inform Assoc. 2022 Jan 29;29(3):559-575. doi: 10.1093/jamia/ocab236.","Yan MY","J Am Med Inform Assoc","2022","2021/12/13","PMC8800516","","10.1093/jamia/ocab236"
"34889756","On Missingness Features in Machine Learning Models for Critical Care: Observational Study","Singh J, Sato M, Ohkuma T.","JMIR Med Inform. 2021 Dec 8;9(12):e25022. doi: 10.2196/25022.","Singh J","JMIR Med Inform","2021","2021/12/10","PMC8701717","","10.2196/25022"
"34887151","Hidden in Plain Sight: Clinical Informaticians are the Oncology Subspecialists You Did Not Know You Needed","Kim E, Bitterman DS, Kann BH, Mak RH, Moreno AC, Upadhyay VA, Warner JL, Zhang HM.","Clin Oncol (R Coll Radiol). 2022 Feb;34(2):135-140. doi: 10.1016/j.clon.2021.11.018. Epub 2021 Dec 6.","Kim E","Clin Oncol (R Coll Radiol)","2022","2021/12/10","PMC8792333","NIHMS1762526","10.1016/j.clon.2021.11.018"
"34727361","Arrhythmia detection and classification using ECG and PPG techniques: a review","Neha, Sardana HK, Kanwade R, Tewary S.","Phys Eng Sci Med. 2021 Dec;44(4):1027-1048. doi: 10.1007/s13246-021-01072-5. Epub 2021 Nov 2.","Neha","Phys Eng Sci Med","2021","2021/11/02","","","10.1007/s13246-021-01072-5"
"34676117","A Novel Nomogram for Predicting Survival in Patients with Severe Acute Pancreatitis: An Analysis Based on the Large MIMIC-III Clinical Database","Han D, Xu F, Li C, Zhang L, Yang R, Zheng S, Wang Z, Lyu J.","Emerg Med Int. 2021 Oct 11;2021:9190908. doi: 10.1155/2021/9190908. eCollection 2021.","Han D","Emerg Med Int","2021","2021/10/22","PMC8526213","","10.1155/2021/9190908"
"34601587","A scoping review of artificial intelligence applications in thoracic surgery","Seastedt KP, Moukheiber D, Mahindre SA, Thammineni C, Rosen DT, Watkins AA, Hashimoto DA, Hoang CD, Kpodonu J, Celi LA.","Eur J Cardiothorac Surg. 2022 Jan 24;61(2):239-248. doi: 10.1093/ejcts/ezab422.","Seastedt KP","Eur J Cardiothorac Surg","2022","2021/10/03","PMC8932394","","10.1093/ejcts/ezab422"
"34568468","Using Restricted Cubic Splines to Study the Trajectory of Systolic Blood Pressure in the Prognosis of Acute Myocardial Infarction","Zheng S, Zhao F, Yang R, Wu W, Liu H, Ma W, Xu F, Han D, Lyu J.","Front Cardiovasc Med. 2021 Sep 10;8:740580. doi: 10.3389/fcvm.2021.740580. eCollection 2021.","Zheng S","Front Cardiovasc Med","2021","2021/09/27","PMC8460999","","10.3389/fcvm.2021.740580"
"34532376","Atrial fibrillation increases inpatient and 4-year all-cause mortality in critically ill patients with liver cirrhosis","Luo Y, Wu B, Wu Y, Peng L, Li Z, Zhu J, Su Z, Liu J, Li S, Chong Y.","Ann Transl Med. 2021 Aug;9(15):1239. doi: 10.21037/atm-21-3111.","Luo Y","Ann Transl Med","2021","2021/09/17","PMC8421951","","10.21037/atm-21-3111"
"34504539","The Effect of Long-Term Duration Renal Replacement Therapy on Outcomes of Critically Ill Patients with Acute Kidney Injury: A Retrospective Cohort Study","Yang M, Li Y, Li P, Fan Y, Zhang Y, Yuan R, Wang L, Zhao Y, Liu X, Zhang Z, Kang H.","Evid Based Complement Alternat Med. 2021 Aug 30;2021:6623667. doi: 10.1155/2021/6623667. eCollection 2021.","Yang M","Evid Based Complement Alternat Med","2021","2021/09/10","PMC8423547","","10.1155/2021/6623667"
"34441204","Occlusion-Based Explanations in Deep Recurrent Models for Biomedical Signals","Resta M, Monreale A, Bacciu D.","Entropy (Basel). 2021 Aug 17;23(8):1064. doi: 10.3390/e23081064.","Resta M","Entropy (Basel)","2021","2021/08/27","PMC8394492","","10.3390/e23081064"
"34413676","Systemic Immune-Inflammation Index for Predicting the Prognosis of Critically Ill Patients with Acute Pancreatitis","Zhang D, Wang T, Dong X, Sun L, Wu Q, Liu J, Sun X.","Int J Gen Med. 2021 Aug 13;14:4491-4498. doi: 10.2147/IJGM.S314393. eCollection 2021.","Zhang D","Int J Gen Med","2021","2021/08/20","PMC8370754","","10.2147/IJGM.S314393"
"34095022","Precision Medicine in Neonates: A Tailored Approach to Neonatal Brain Injury","Tataranno ML, Vijlbrief DC, Dudink J, Benders MJNL.","Front Pediatr. 2021 May 19;9:634092. doi: 10.3389/fped.2021.634092. eCollection 2021.","Tataranno ML","Front Pediatr","2021","2021/06/07","PMC8171663","","10.3389/fped.2021.634092"
"33888129","Day-to-day progression of vital-sign circadian rhythms in the intensive care unit","Davidson S, Villarroel M, Harford M, Finnegan E, Jorge J, Young D, Watkinson P, Tarassenko L.","Crit Care. 2021 Apr 22;25(1):156. doi: 10.1186/s13054-021-03574-w.","Davidson S","Crit Care","2021","2021/04/23","PMC8063456","","10.1186/s13054-021-03574-w"
"33833344","Relationship between 24-h venous blood glucose variation and mortality among patients with acute respiratory failure","Zhang X, Zhang J, Li J, Gao Y, Li R, Jin X, Wang X, Huang Y, Wang G.","Sci Rep. 2021 Apr 8;11(1):7747. doi: 10.1038/s41598-021-87409-2.","Zhang X","Sci Rep","2021","2021/04/09","PMC8032795","","10.1038/s41598-021-87409-2"
"33831075","Determining respiratory rate from photoplethysmogram and electrocardiogram signals using respiratory quality indices and neural networks","Baker S, Xiang W, Atkinson I.","PLoS One. 2021 Apr 8;16(4):e0249843. doi: 10.1371/journal.pone.0249843. eCollection 2021.","Baker S","PLoS One","2021","2021/04/08","PMC8031461","","10.1371/journal.pone.0249843"
"33795682","Ontology-driven weak supervision for clinical entity classification in electronic health records","Fries JA, Steinberg E, Khattar S, Fleming SL, Posada J, Callahan A, Shah NH.","Nat Commun. 2021 Apr 1;12(1):2017. doi: 10.1038/s41467-021-22328-4.","Fries JA","Nat Commun","2021","2021/04/02","PMC8016863","","10.1038/s41467-021-22328-4"
"33654479","The prediction of mortality influential variables in an intensive care unit: a case study","Khajehali N, Khajehali Z, Tarokh MJ.","Pers Ubiquitous Comput. 2023;27(2):203-219. doi: 10.1007/s00779-021-01540-5. Epub 2021 Feb 26.","Khajehali N","Pers Ubiquitous Comput","2023","2021/03/03","PMC7907311","","10.1007/s00779-021-01540-5"
"33491152","[Artificial intelligence in neurocritical care]","Schweingruber N, Gerloff C.","Nervenarzt. 2021 Feb;92(2):115-126. doi: 10.1007/s00115-020-01050-4. Epub 2021 Jan 24.","Schweingruber N","Nervenarzt","2021","2021/01/25","PMC7829030","","10.1007/s00115-020-01050-4"
"33325504","Clinician involvement in research on machine learning-based predictive clinical decision support for the hospital setting: A scoping review","Schwartz JM, Moy AJ, Rossetti SC, Elhadad N, Cato KD.","J Am Med Inform Assoc. 2021 Mar 1;28(3):653-663. doi: 10.1093/jamia/ocaa296.","Schwartz JM","J Am Med Inform Assoc","2021","2020/12/16","PMC7936403","","10.1093/jamia/ocaa296"
"33317208","Robust T-End Detection via T-End Signal Quality Index and Optimal Shrinkage","Su PC, Soliman EZ, Wu HT.","Sensors (Basel). 2020 Dec 9;20(24):7052. doi: 10.3390/s20247052.","Su PC","Sensors (Basel)","2020","2020/12/15","PMC7763682","","10.3390/s20247052"
