Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
early prediction of sepsis onset using neural architecture search based on genetic algorithms,18,02,2022,International journal of environmental research and public health,19,4,1660-4601,Jae Kwan,Kim,"Center for Bionics, Korea Institute of Science and Technology, Seoul 02792, Korea.",Wonbin,Ahn,"Applied AI Research Lab, LG AI Research, Seoul 07796, Korea.",Sangin,Park,"Center for Bionics, Korea Institute of Science and Technology, Seoul 02792, Korea.",Soo-Hong,Lee,"School of Mechanical Engineering, Yonsei University, Seoul 03722, Korea.",Laehyun,Kim,"Center for Bionics, Korea Institute of Science and Technology, Seoul 02792, Korea.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postoperative serum creatinine serves as a prognostic predictor of cardiac surgery patients,16,02,2022,Frontiers in cardiovascular medicine,9,,2297-055X,Jian,Hou,"Department of Cardiac Surgery, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Liqun,Shang,"Department of Cardiac Surgery, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Suiqing,Huang,"Department of Cardiac Surgery, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Yuanhan,Ao,"Department of Cardiac Surgery, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Jianping,Yao,"Department of Cardiac Surgery, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Zhongkai,Wu,"Department of Cardiac Surgery, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
risk factors for pulmonary embolism in icu patients: a retrospective cohort study from the mimic-iii database,XX,XX,2022,Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,28,,1938-2723,Cheng-Bin,Huang,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",Chen-Xuan,Hong,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",Tian-Hao,Xu,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",Ding-Yun,Zhao,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",Zong-Yi,Wu,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",Liang,Chen,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",Jun,Xie,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",Chen,Jin,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",Bing-Zhang,Wang,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",Lei,Yang,"26452The Second Affiliated Hospital and Yuying Childrens Hospital of Wenzhou Medical University, Wenzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"impact of pulmonary arterial hypertension on systemic inflammation, cardiac injury and hemodynamics in sepsis: a retrospective study from mimic-iii",15,01,2022,The American journal of the medical sciences,,,1538-2990,Wencheng,He,"Department of Intensive Care Unit, Peking University Shenzhen Hospital, Shenzhen Peking University - The Hong Kong University of Science and Technology Medical Center, Shenzhen, Guangdong, China; Department of Intensive Care Unit, Peking University Shenzhen Hospital, Shenzhen, Guangdong, China. Electronic address: hewenchengsg@163.com.",Weixing,Zhang,"Department of Intensive Care Unit, Peking University Shenzhen Hospital, Shenzhen, Guangdong, China. Electronic address: zhangwx@hotmail.com.",Youzhong,An,"Department of Intensive Care Unit, Peking University People's Hospital, Beijing, China. Electronic address: youbjicu@163.com.",Lei,Huang,"Department of Intensive Care Unit, Peking University Shenzhen Hospital, Shenzhen, Guangdong, China. Electronic address: hl0248@outlook.com.",Hua,Luo,"Department of Intensive Care Unit, Peking University Shenzhen Hospital, Shenzhen, Guangdong, China. Electronic address: luoxiaoer@hotmail.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluating semantic similarity methods for comparison of text-derived phenotype profiles,05,02,2022,BMC medical informatics and decision making,22,1,1472-6947,Luke T,Slater,"College of Medical and Dental Sciences, Institute of Cancer and Genomic Sciences, University of Birmingham, Birmingham, UK. l.slater.1@bham.ac.uk.",Sophie,Russell,"College of Medical and Dental Sciences, Institute of Cancer and Genomic Sciences, University of Birmingham, Birmingham, UK.",Silver,Makepeace,"College of Medical and Dental Sciences, Institute of Cancer and Genomic Sciences, University of Birmingham, Birmingham, UK.",Alexander,Carberry,"College of Medical and Dental Sciences, Institute of Cancer and Genomic Sciences, University of Birmingham, Birmingham, UK.",Andreas,Karwath,"College of Medical and Dental Sciences, Institute of Cancer and Genomic Sciences, University of Birmingham, Birmingham, UK.",John A,Williams,"College of Medical and Dental Sciences, Institute of Cancer and Genomic Sciences, University of Birmingham, Birmingham, UK.",Hilary,Fanning,"Institute of Translational Medicine, University Hospitals Birmingham, NHS Foundation Trust, Birmingham, UK.",Simon,Ball,"Institute of Translational Medicine, University Hospitals Birmingham, NHS Foundation Trust, Birmingham, UK.",Robert,Hoehndorf,"Computational Bioscience Research Center, Computer, Electrical and Mathematical Sciences and Engineering Division, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia.",Georgios V,Gkoutos,"College of Medical and Dental Sciences, Institute of Cancer and Genomic Sciences, University of Birmingham, Birmingham, UK.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<i>cox-lasso</i> analysis for hospital mortality in patients with sepsis received continuous renal replacement therapy: a mimic-iii database study,10,02,2022,Frontiers in medicine,8,,2296-858X,Chunxia,Wang,"Department of Critical Care Medicine, Shanghai Children's Hospital, Shanghai Jiao Tong University, Shanghai, China.",Jianli,Zheng,"Institute of Medical Information Engineering, University of Shanghai for Science and Technology, Shanghai, China.",Jinxia,Wang,"Clinical Research Unit, Shanghai Children's Hospital, Shanghai Jiao Tong University, Shanghai, China.",Lin,Zou,"Clinical Research Unit, Shanghai Children's Hospital, Shanghai Jiao Tong University, Shanghai, China.",Yucai,Zhang,"Department of Critical Care Medicine, Shanghai Children's Hospital, Shanghai Jiao Tong University, Shanghai, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"unstructured clinical notes within the 24 hours since admission predict short, mid & long-term mortality in adult icu patients",06,01,2022,PloS one,17,1,1932-6203,Maria,Mahbub,"Cyber Resilience and Intelligence Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States of America.",Sudarshan,Srinivasan,"Cyber Resilience and Intelligence Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States of America.",Ioana,Danciu,"Computational Sciences and Engineering Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States of America.",Alina,Peluso,"Computational Sciences and Engineering Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States of America.",Edmon,Begoli,"Cyber Resilience and Intelligence Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States of America.",Suzanne,Tamang,"Center for Population Health Science, Stanford University, Palo Alto, CA, United States of America.",Gregory D,Peterson,"Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, United States of America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machine learning for the prediction of acute kidney injury in critical care patients with acute cerebrovascular disease,XX,12,2022,Renal failure,44,1,1525-6049,Xiaohong,Zhang,"Department of Nephrology, the First Affiliated Hospital, Fujian Medical University, Fuzhou, China.",Siying,Chen,"Department of Nephrology, the First Affiliated Hospital, Fujian Medical University, Fuzhou, China.",Kunmei,Lai,"Department of Nephrology, the First Affiliated Hospital, Fujian Medical University, Fuzhou, China.",Zhimin,Chen,"Department of Nephrology, the First Affiliated Hospital, Fujian Medical University, Fuzhou, China.",Jianxin,Wan,"Department of Nephrology, the First Affiliated Hospital, Fujian Medical University, Fuzhou, China.",Yanfang,Xu,"Department of Nephrology, the First Affiliated Hospital, Fujian Medical University, Fuzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construction and validation of a risk prediction model for acute kidney injury in patients suffering from septic shock,06,01,2022,Disease markers,2022,,1875-8630,Suru,Yue,"Clinical Research Service Center, The Affiliated Hospital of Guangdong Medical University, Zhanjiang, 524001 Guangdong Province, China.",Shasha,Li,"Clinical Research Service Center, The Affiliated Hospital of Guangdong Medical University, Zhanjiang, 524001 Guangdong Province, China.",Xueying,Huang,"Clinical Research Service Center, The Affiliated Hospital of Guangdong Medical University, Zhanjiang, 524001 Guangdong Province, China.",Jie,Liu,"Clinical Research Service Center, The Affiliated Hospital of Guangdong Medical University, Zhanjiang, 524001 Guangdong Province, China.",Xuefei,Hou,"Clinical Research Service Center, The Affiliated Hospital of Guangdong Medical University, Zhanjiang, 524001 Guangdong Province, China.",Yufeng,Wang,"Clinical Research Service Center, The Affiliated Hospital of Guangdong Medical University, Zhanjiang, 524001 Guangdong Province, China.",Jiayuan,Wu,"Clinical Research Service Center, The Affiliated Hospital of Guangdong Medical University, Zhanjiang, 524001 Guangdong Province, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transportability and implementation challenges of early warning scores for septic shock in the icu: a perspective on the trewscore,08,02,2022,Frontiers in medicine,8,,2296-858X,Michael S A,Niemantsverdriet,"Central Diagnostic Laboratory, University Medical Center Utrecht, Utrecht University, Utrecht, Netherlands.",Meri R J,Varkila,"Department of Intensive Care Medicine, University Medical Center Utrecht, Utrecht University, Utrecht, Netherlands.",Jacqueline L P,Vromen-Wijsman,"Department of Intensive Care Medicine, University Medical Center Utrecht, Utrecht University, Utrecht, Netherlands.",Imo E,Hoefer,"Central Diagnostic Laboratory, University Medical Center Utrecht, Utrecht University, Utrecht, Netherlands.",Domenico,Bellomo,"SkylineDx, Rotterdam, Netherlands.",Martin H,van Vliet,"SkylineDx, Rotterdam, Netherlands.",Wouter W,van Solinge,"Central Diagnostic Laboratory, University Medical Center Utrecht, Utrecht University, Utrecht, Netherlands.",Olaf L,Cremer,"Department of Intensive Care Medicine, University Medical Center Utrecht, Utrecht University, Utrecht, Netherlands.",Saskia,Haitjema,"Central Diagnostic Laboratory, University Medical Center Utrecht, Utrecht University, Utrecht, Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
association of thiamine use with outcomes in patients with sepsis and alcohol use disorder: an analysis of the mimic-iii database,15,02,2022,Infectious diseases and therapy,,,2193-8229,Chang,Hu,"Department of Critical Care Medicine, Zhongnan Hospital of Wuhan University, 169 East Lake Road, Wuhan, 430071, Hubei, China.",Tong,Wu,"Department of Critical Care Medicine, Zhongnan Hospital of Wuhan University, 169 East Lake Road, Wuhan, 430071, Hubei, China.",Siqing,Ma,"Department of Critical Care Medicine, Qinghai Provincial People's Hospital, Xining, Qinghai, China.",Weipeng,Huang,"Department of Critical Care Medicine, Zhongnan Hospital of Wuhan University, 169 East Lake Road, Wuhan, 430071, Hubei, China.",Qiancheng,Xu,"Department of Critical Care Medicine, Zhongnan Hospital of Wuhan University, 169 East Lake Road, Wuhan, 430071, Hubei, China.",Kianoush B,Kashani,"Division of Nephrology and Hypertension, Department of Medicine, Mayo Clinic, Rochester, MN, USA.",Bo,Hu,"Department of Critical Care Medicine, Zhongnan Hospital of Wuhan University, 169 East Lake Road, Wuhan, 430071, Hubei, China. hobbier1979@163.com.",Jianguo,Li,"Department of Critical Care Medicine, Zhongnan Hospital of Wuhan University, 169 East Lake Road, Wuhan, 430071, Hubei, China. drljg5361@163.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
