Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Journal Issue,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Collective Author 1
development and verification of a digital twin patient model to predict specific treatment response during the first 24 hours of sepsis,16,11,2020,Critical care explorations,2,2639-8028,Amos,Lal,"Department of Medicine, Division of Pulmonary and Critical Care Medicine, Multidisciplinary Epidemiology and Translational Research in Intensive Care Group, Mayo Clinic, Rochester, MN.",Guangxi,Li,"Department of Anesthesiology and Perioperative Medicine, Division of Critical Care, Multidisciplinary Epidemiology and Translational Research in Intensive Care Group, Mayo Clinic, Rochester, MN.",Edin,Cubro,"Multidisciplinary Epidemiology and Translational Research in Intensive Care Group, Mayo Clinic, Rochester, MN.",Sarah,Chalmers,"Department of Medicine, Division of Pulmonary and Critical Care Medicine, Multidisciplinary Epidemiology and Translational Research in Intensive Care Group, Mayo Clinic, Rochester, MN.",11,Heyi,Li,"Department of Medicine, Division of Pulmonary and Critical Care Medicine, Multidisciplinary Epidemiology and Translational Research in Intensive Care Group, Mayo Clinic, Rochester, MN.",Vitaly,Herasevich,"Department of Anesthesiology and Perioperative Medicine, Division of Critical Care, Multidisciplinary Epidemiology and Translational Research in Intensive Care Group, Mayo Clinic, Rochester, MN.",Yue,Dong,"Department of Anesthesiology and Perioperative Medicine, Division of Critical Care, Multidisciplinary Epidemiology and Translational Research in Intensive Care Group, Mayo Clinic, Rochester, MN.",Brian W,Pickering,"Department of Anesthesiology and Perioperative Medicine, Division of Critical Care, Multidisciplinary Epidemiology and Translational Research in Intensive Care Group, Mayo Clinic, Rochester, MN.",Oguz,Kilickaya,"Department of Anesthesiology and Critical Care, Altinbas University, Bahcelievler Medical Park Hospital, Istanbul, Turkey.",Ognjen,Gajic,"Department of Medicine, Division of Pulmonary and Critical Care Medicine, Multidisciplinary Epidemiology and Translational Research in Intensive Care Group, Mayo Clinic, Rochester, MN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federated learning for healthcare informatics,12,11,2020,Journal of healthcare informatics research,5,2509-4971,Jie,Xu,"Department of Population Health Sciences, Weill Cornell Medicine, New York, NY USA.",Benjamin S,Glicksberg,"Institute for Digital Health, Icahn School of Medicine at Mount Sinai, New York, NY USA.",Chang,Su,"Department of Population Health Sciences, Weill Cornell Medicine, New York, NY USA.",Peter,Walker,"U.S. Department of Defense Joint Artificial Intelligence Center, Washington, D.C., USA.",1,Jiang,Bian,"Department of Health Outcomes and Biomedical Informatics, College of Medicine, University of Florida, Gainesville, FL USA.",Fei,Wang,"Department of Population Health Sciences, Weill Cornell Medicine, New York, NY USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triglyceride-glucose index linked to hospital mortality in critically ill stroke: an observational multicentre study on eicu database,28,10,2020,Frontiers in medicine,7,2296-858X,Bingjun,Zhang,"Department of Neurology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Lingling,Liu,"Department of Hematology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Hengfang,Ruan,"Department of Neurology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Qiang,Zhu,"Department of Neurology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",,Dafan,Yu,"Department of Neurology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Yu,Yang,"Department of Neurology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Xuejiao,Men,"Department of Neurology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Zhengqi,Lu,"Department of Neurology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deceased serum bilirubin and albumin levels in the assessment of severity and mortality in patients with acute pancreatitis,23,09,2020,International journal of medical sciences,17,1449-1907,Xiao,Xu,"Department of Emergency, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, Wuhan Hubei, 430014, China.",Fen,Ai,"Department of Emergency, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, Wuhan Hubei, 430014, China.",Min,Huang,"Department of Nephrology, The Central Hospital of Wuhan, Tongji Medical College of Huazhong University of Science and Technology, Wuhan Hubei, 430014, China.",,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile clinical research: a data science approach to scrumban in clinical medicine,22,10,2020,Intelligence-based medicine,3,2666-5212,Howard,Lei,"CHOC Children's Hospital, Orange, CA, USA.",Ryan,O'Connell,"University of California-Irvine, Department of Pathology, USA.",Louis,Ehwerhemuepha,"CHOC Children's Hospital, Orange, CA, USA.",Sharief,Taraman,"CHOC Children's Hospital, Orange, CA, USA.",,William,Feaster,"CHOC Children's Hospital, Orange, CA, USA.",Anthony,Chang,"CHOC Children's Hospital, Orange, CA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
individualized fluid administration for critically ill patients with sepsis with an interpretable dynamic treatment regimen model,21,10,2020,Scientific reports,10,2045-2322,Zhongheng,Zhang,"Department of Emergency Medicine, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine, No 3, East Qingchun Road, Zhejiang Province, Hangzhou, 310016, China. zh_zhang1984@zju.edu.cn.",Bin,Zheng,"Department of Surgery, 2D, Walter C Mackenzie Health Sciences Centre, University of Alberta, Edmonton, AB, 2, Canada.",Nan,Liu,"Duke-NUS Medical School, National University of Singapore, Singapore, Singapore.",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"survival prediction of patients with sepsis from age, sex, and septic episode number alone",13,10,2020,Scientific reports,10,2045-2322,Davide,Chicco,"Krembil Research Institute, Toronto, ON, Canada. davidechicco@davidechicco.it.",Giuseppe,Jurman,"Fondazione Bruno Kessler, Trento, Italy.",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
democratizing ehr analyses with fiddle: a flexible data-driven preprocessing pipeline for structured clinical data,09,12,2020,Journal of the American Medical Informatics Association : JAMIA,27,1527-974X,Shengpu,Tang,"Department of Electrical Engineering and Computer Science, Division of Computer Science and Engineering, University of Michigan, Ann Arbor, USA.",Parmida,Davarmanesh,"Department of Mathematics, University of Michigan, Ann Arbor, USA.",Yanmeng,Song,"Department of Statistics, University of Michigan, Ann Arbor, USA.",Danai,Koutra,"Department of Electrical Engineering and Computer Science, Division of Computer Science and Engineering, University of Michigan, Ann Arbor, USA.",12,Michael W,Sjoding,"Department of Internal Medicine, University of Michigan, Ann Arbor, USA.",Jenna,Wiens,"Department of Electrical Engineering and Computer Science, Division of Computer Science and Engineering, University of Michigan, Ann Arbor, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precision medicine in anesthesiology,XX,XX,2020,International anesthesiology clinics,58,1537-1913,Laleh,Jalilian,"Department of Anesthesiology and Perioperative Medicine, UCLA David Geffen School of Medicine, Los Angeles, California.",Maxime,Cannesson,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using item response theory for explainable machine learning in predicting mortality in the intensive care unit: case-based approach,25,09,2020,Journal of medical Internet research,22,1438-8871,Adrienne,Kline,"Department of Biomedical Engineering, University of Calgary, Calgary, AB, Canada.",Theresa,Kline,"Department of Psychology, University of Calgary, Calgary, AB, Canada.",Zahra,Shakeri Hossein Abad,"Data Intelligence for Health Lab, Cumming School of Medicine, University of Calgary, Calgary, AB, Canada.",Joon,Lee,"Data Intelligence for Health Lab, Cumming School of Medicine, University of Calgary, Calgary, AB, Canada.",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spectral clustering of risk score trajectories stratifies sepsis patients by clinical outcome and interventions received,22,09,2020,eLife,9,2050-084X,Ran,Liu,"Institute for Computational Medicine, The Johns Hopkins University, Baltimore, United States.",Joseph L,Greenstein,"Institute for Computational Medicine, The Johns Hopkins University, Baltimore, United States.",James C,Fackler,"Department of Anesthesiology and Critical Care Medicine, The Johns Hopkins University School of Medicine, Baltimore, United States.",Melania M,Bembea,"Department of Anesthesiology and Critical Care Medicine, The Johns Hopkins University School of Medicine, Baltimore, United States.",,Raimond L,Winslow,"Institute for Computational Medicine, The Johns Hopkins University, Baltimore, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proportion of time spent in blood glucose range 70 to 140 mg/dl is associated with increased survival in patients admitted to icu after cardiac arrest: a multicenter observational study,14,08,2020,Medicine,99,1536-5964,Dawei,Zhou,"Department of Critical Care Medicine, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.",Zhimin,Li,,Guangzhi,Shi,,Jianxin,Zhou,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
use of do-not-resuscitate orders for critically ill patients with eskd,27,08,2020,Journal of the American Society of Nephrology : JASN,31,1533-3450,John,Danziger,"Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts jdanzige@bidmc.harvard.edu.",Miguel,Ángel Armengol de la Hoz,"Cardiovascular Research Center, Harvard Medical School, Massachusetts General Hospital, Boston, Massachusetts.",Leo Anthony,Celi,"Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts.",Robert A,Cohen,"Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts.",10,Kenneth J,Mukamal,"Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managing covid-19 with a clinical decision support tool in a community health network: algorithm development and validation,24,08,2020,Journal of medical Internet research,22,1438-8871,Michael P,McRae,"Department of Biomaterials, Bioengineering Institute, New York University College of Dentistry, New York, NY, United States.",Isaac P,Dapkins,"Department of Population Health and Internal Medicine, Family Health Centers at NYU Langone, New York University School of Medicine, New York, NY, United States.",Iman,Sharif,"Departments of Pediatrics and Population Health, Family Health Centers at NYU Langone, New York University School of Medicine, New York, NY, United States.",Judd,Anderman,"Family Health Centers at NYU Langone, New York, NY, United States.",8,David,Fenyo,"Department of Biochemistry and Molecular Pharmacology, New York University School of Medicine, New York, NY, United States.",Odai,Sinokrot,"Department of Medicine, New York University School of Medicine, New York, NY, United States.",Stella K,Kang,"Department of Radiology, New York University School of Medicine, New York, NY, United States.",Nicolaos J,Christodoulides,"Department of Biomaterials, Bioengineering Institute, New York University College of Dentistry, New York, NY, United States.",Deniz,Vurmaz,"Department of Chemical and Biomolecular Engineering, NYU Tandon School of Engineering, New York University, New York, NY, United States.",Glennon W,Simmons,"Department of Biomaterials, Bioengineering Institute, New York University College of Dentistry, New York, NY, United States.",Timothy M,Alcorn,"Latham BioPharm Group, Cambridge, MA, United States.",Marco J,Daoura,"OraLiva, Naples, FL, United States.",Stu,Gisburne,"OraLiva, Naples, FL, United States.",David,Zar,"OraLiva, Naples, FL, United States.",John T,McDevitt,"Department of Biomaterials, Bioengineering Institute, New York University College of Dentistry, New York, NY, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decompensation in critical care: early prediction of acute heart failure onset,07,08,2020,JMIR medical informatics,8,2291-9694,Patrick,Essay,"College of Engineering, The University of Arizona, Tucson, AZ, United States.",Baran,Balkan,"College of Engineering, The University of Arizona, Tucson, AZ, United States.",Vignesh,Subbian,"Department of Systems and Industrial Engineering, Department of Biomedical Engineering, The University of Arizona, Tucson, AZ, United States.",,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obesity paradox for critically ill patients may be modified by age: a retrospective observational study from one large database,13,07,2020,"Critical care (London, England)",24,1466-609X,Dawei,Zhou,"Department of Critical Care Medicine, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.",Zhimin,Li,"Department of Critical Care Medicine, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.",Guangzhi,Shi,"Department of Critical Care Medicine, Beijing Tiantan Hospital, Capital Medical University, Beijing, China. 15866601260@163.com.",Jianxin,Zhou,"Department of Critical Care Medicine, Beijing Tiantan Hospital, Capital Medical University, Beijing, China. bjttyyicu@126.com.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"critical care nursing workforce: global imperatives, innovations and future-proofing - a call for papers",07,07,2020,Intensive & critical care nursing,60,1532-4036,Melissa J,Bloomer,"School of Nursing and Midwifery, Deakin University, Geelong, Australia; Centre for Quality and Patient Safety, Deakin University, Geelong, Australia. Electronic address: m.bloomer@deakin.edu.au.",Suzanne,Bench,"School of Health and Social Care, London Southbank University, United Kingdom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
