Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Journal Issue,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Collective Author 1
influence of fluid balance on the prognosis of patients with sepsis,05,11,2021,BMC anesthesiology,21,1471-2253,Luming,Zhang,"Intensive Care Unit, The First Affiliated Hospital of Jinan University, 510630, Guangzhou, Guangdong Province, People's Republic of China.",Fengshuo,Xu,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Guangzhou, Guangdong Province, China.",Shaojin,Li,"Department of Orthopaedics, The First Affiliated Hospital of Jinan University, Guangzhou, Guangdong Province, China.",Xiaoyu,Zheng,"Intensive Care Unit, The First Affiliated Hospital of Jinan University, 510630, Guangzhou, Guangdong Province, People's Republic of China.",1,Shuai,Zheng,"School of Public Health, Shannxi University of Chinese Medicine, Xianyang, Shaanxi Province, China.",Hui,Liu,"Intensive Care Unit, The First Affiliated Hospital of Jinan University, 510630, Guangzhou, Guangdong Province, People's Republic of China.",Jun,Lyu,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Guangzhou, Guangdong Province, China.",Haiyan,Yin,"Intensive Care Unit, The First Affiliated Hospital of Jinan University, 510630, Guangzhou, Guangdong Province, People's Republic of China. yinhaiyan1867@126.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prognostic value of blood urea nitrogen to serum albumin ratio in intensive care unit patients with lung cancer,28,10,2021,International journal of general medicine,14,1178-7074,Xiulan,Peng,"Department of Oncology, The Second Affiliated Hospital of Jianghan University, Wuhan, Hubei, People's Republic of China.",Yali,Huang,"Department of Oncology, The Second Affiliated Hospital of Jianghan University, Wuhan, Hubei, People's Republic of China.",Haifeng,Fu,"Department of Hepatopancreatobiliary Surgery, Sinopharm Dongfeng General Hospital, Hubei University of Medicine, Wuhan, Hubei, People's Republic of China.",Zhi,Zhang,"Department of Intensive Care Unit, The Second Affiliated Hospital of Jianghan University, Wuhan, Hubei, People's Republic of China.",,Anbing,He,"Department of Oncology, The Second Affiliated Hospital of Jianghan University, Wuhan, Hubei, People's Republic of China.",Renfeng,Luo,"Department of Diagnostics, JiangHan University, Wuhan, Hubei, People's Republic of China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the obesity paradox and hypoglycemia in critically ill patients,01,11,2021,"Critical care (London, England)",25,1466-609X,Drago,Plečko,"Seminar for Statistics, Department of Mathematics, ETH Zürich, Zürich, Switzerland. drago.plecko@stat.math.ethz.ch.",Nicolas,Bennett,"Seminar for Statistics, Department of Mathematics, ETH Zürich, Zürich, Switzerland.",Johan,Mårtensson,"Department of Perioperative Medicine and Intensive Care, Karolinska University Hospital, Stockholm, Sweden.",Rinaldo,Bellomo,"Australian and New Zealand Intensive Care Research Centre, School of Public Health and Preventative Medicine, Monash University, Melbourne, Australia.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the prognostic value of calcium in post-cardiovascular surgery patients in the intensive care unit,05,10,2021,Frontiers in cardiovascular medicine,8,2297-055X,Siwei,Bi,"West China School of Medicine, Sichuan University, Chengdu, China.",Ruiqi,Liu,"Department of Burn and Plastic Surgery, West China Hospital, Sichuan University, Chengdu, China.",Jingyi,Li,"West China School of Medicine, Sichuan University, Chengdu, China.",Shanshan,Chen,"West China School of Medicine, Sichuan University, Chengdu, China.",,Jun,Gu,"Department of Cardiovascular Surgery, West China Hospital, Sichuan University, Chengdu, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value of early critical care transthoracic echocardiography for patients undergoing mechanical ventilation: a retrospective study,21,10,2021,BMJ open,11,2044-6055,Hao,Jiang,"Department of Intensive Care Unit, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China.",Wen,Xu,"Department of Hepatobiliary and pancreatic surgery, Zhejiang University School of Medicine Second Affiliated Hospital, Hangzhou, Zhejiang, China.",Wenjing,Chen,"Department of Intensive Care Unit, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China.",Lingling,Pan,"Department of Intensive Care Unit, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China.",10,Xueshu,Yu,"Department of Intensive Care Unit, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China.",Yincai,Ye,"Department of Blood Transfusion, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China.",Zhendong,Fang,"Department of Intensive Care Unit, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China.",Xianwei,Zhang,"Department of Intensive Care Unit, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China.",Zhiqiang,Chen,"Department of Intensive Care Unit, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China.",Jie,Shu,"Department of Intensive Care Unit, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China.",Jingye,Pan,"Department of Intensive Care Unit, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China wmupanjingye@126.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"varying association of laboratory values with reference ranges and outcomes in critically ill patients: an analysis of data from five databases in four countries across asia, europe and north america",XX,10,2021,BMJ health & care informatics,28,2632-1009,Haoran,Xu,"School of Medicine, Chinese PLA General Hospital, Beijing, China.",Louis,Agha-Mir-Salim,"Laboratory for Computational Physiology, Harvard-MIT Division of Health Sciences and Technology, Cambridge, Massachusetts, USA mirsalim@mit.edu.",Zachary,O'Brien,"School of Public Health and Preventive Medicine, Monash University, Melbourne, Victoria, Australia.",Dora C,Huang,"Department of Internal Medicine, Beth Israel Deaconess Medical Center, Boston, Massachusetts, USA.",1,Peiyao,Li,"Global Health Drug Discovery Institute, Beijing, China.",Josep,Gómez,"Department of Intensive Care Medicine, Joan XXIII University Hospital in Tarragona, Tarragona, Catalunya, Spain.",Xiaoli,Liu,"Laboratory for Computational Physiology, Harvard-MIT Division of Health Sciences and Technology, Cambridge, Massachusetts, USA.",Tongbo,Liu,"Information Department, Chinese PLA General Hospital, Beijing, China.",Wesley,Yeung,"Laboratory for Computational Physiology, Harvard-MIT Division of Health Sciences and Technology, Cambridge, Massachusetts, USA.",Patrick,Thoral,"Department of Intensive Care Medicine, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands.",Paul,Elbers,"Department of Intensive Care Medicine, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands.",Zhengbo,Zhang,"Medical Innovation Research Department, Chinese PLA General Hospital, Beijing, China.",María Bodí,Saera,"Department of Intensive Care Medicine, Joan XXIII University Hospital in Tarragona, Tarragona, Catalunya, Spain.",Leo Anthony,Celi,"Laboratory for Computational Physiology, Harvard-MIT Division of Health Sciences and Technology, Cambridge, Massachusetts, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digital signatures for early traumatic brain injury outcome prediction in the intensive care unit,07,10,2021,Scientific reports,11,2045-2322,Anil K,Palepu,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Aditya,Murali,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Jenna L,Ballard,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Robert,Li,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",1,Samiksha,Ramesh,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Hieu,Nguyen,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Hanbiehn,Kim,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Sridevi,Sarma,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Jose I,Suarez,"Department of Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, USA.",Robert D,Stevens,"Department of Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, USA. rstevens@jhmi.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estimated pao<sub>2</sub>: a continuous and noninvasive method to estimate pao<sub>2</sub> and oxygenation index,28,09,2021,Critical care explorations,3,2639-8028,Michaël,Sauthier,,Gaurav,Tuli,"Innovation & Digital Health Accelerator, Boston Children's Hospital, Boston, MA.",Philippe A,Jouvet,"Departments of Pediatrics, Sainte-Justine Hospital, Montreal, QC, Canada.",John S,Brownstein,"Innovation & Digital Health Accelerator, Boston Children's Hospital, Boston, MA.",10,Adrienne G,Randolph,"Department of Anesthesiology, Critical Care and Pain Medicine, Boston Children's Hospital, Boston, MA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acute kidney injury detection using refined and physiological-feature augmented urine output,01,10,2021,Scientific reports,11,2045-2322,Sahar,Alkhairy,"Massachusetts Institute of Technology, Cambridge, MA, USA. saharak@alum.mit.edu.",Leo A,Celi,"Massachusetts Institute of Technology, Cambridge, MA, USA.",Mengling,Feng,"Massachusetts Institute of Technology, Cambridge, MA, USA.",Andrew J,Zimolzak,"Baylor College of Medicine, Houston, TX, USA.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect of ondansetron on reducing icu mortality in patients with acute kidney injury,30,09,2021,Scientific reports,11,2045-2322,Xiaojiang,Guo,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA.",Xiguang,Qi,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA.",Peihao,Fan,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA.",Michael,Gilbert,"Department of Pharmacy and Therapeutics, School of Pharmacy, University of Pittsburgh, Pittsburgh, PA, 15206, USA.",1,Andrew D,La,"Department of Pharmacy and Therapeutics, School of Pharmacy, University of Pittsburgh, Pittsburgh, PA, 15206, USA.",Zeyu,Liu,"The Dietrich School of Arts & Sciences, University of Pittsburgh, Pittsburgh, PA, 15206, USA.",Richard,Bertz,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA.",John A,Kellum,"The Center for Critical Care Nephrology Department of Critical Care Medicine, School of Medicine, University of Pittsburgh, Pittsburgh, PA, 15206, USA. kellum@pitt.edu.",Yu,Chen,"Eli Lilly and Company, Lilly Corporate Center, Indiana, IN, 46225, USA. yu.chen@lilly.com.",Lirong,Wang,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA. liw30@pitt.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a machine learning sepsis prediction algorithm for intended intensive care unit use (navoy sepsis): proof-of-concept study,30,09,2021,JMIR formative research,5,2561-326X,Inger,Persson,"Department of Statistics, Uppsala University, Uppsala, Sweden.",Andreas,Östling,"Department of Statistics, Uppsala University, Uppsala, Sweden.",Martin,Arlbrandt,"Department of Anaesthesiology and Intensive Care, Södersjukhuset, Stockholm, Sweden.",Joakim,Söderberg,"AlgoDx AB, Stockholm, Sweden.",9,David,Becedas,"AlgoDx AB, Stockholm, Sweden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature explanations in recurrent neural networks for predicting risk of mortality in intensive care patients,19,09,2021,Journal of personalized medicine,11,2075-4426,Thanakron,Na Pattalung,"Department of Biological Sciences and Biological Engineering, Faculty of Medicine, Prince of Songkla University, Songkhla 90110, Thailand.",Thammasin,Ingviya,"Department of Familty and Preventive Medicine, Faculty of Medicine, Prince of Songkla University, Songkhla 90110, Thailand.",Sitthichok,Chaichulee,"Department of Biological Sciences and Biological Engineering, Faculty of Medicine, Prince of Songkla University, Songkhla 90110, Thailand.",,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
invasive blood pressure measurement and in-hospital mortality in critically ill patients with hypertension,01,09,2021,Frontiers in cardiovascular medicine,8,2297-055X,Bin,Zhou,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Liang-Ying,Lin,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Xiao-Ai,Liu,"Institute of Nursing, Guangdong Food and Drug Vocational College, Guangzhou, China.",Ye-Sheng,Ling,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",,Yuan-Yuan,Zhang,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",An-Qi,Luo,"Department of Nuclear Medicine, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.",Meng-Chun,Wu,"Department of Emergency Medicine, Sun Yat-sen Memorial Hospital of Sun Yat-sen University, Guangzhou, China.",Ruo-Mi,Guo,"Department of Radiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Hua-Li,Chen,"Department of Nosocomial Infection Control, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Qi,Guo,"Department of Cardiology, Sun Yat-sen Memorial Hospital of Sun Yat-sen University, Guangzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
